time-(ms)-h-i,voltage-near-axon-(microV)-h-i
-264.975.999.028,-203.195.925.914
-264.776.999.022,-203.250.214.413
-264.577.999.017,-203.463.450.313
-264.378.999.011,-203.567.172.853
-264.179.999.006,-203.409.718.642
-263.980.999,-203.507.879.201
-263.781.998.995,-203.623.196.464
-263.582.998.989,-203.714.880.038
-263.383.998.984,-203.561.957.415
-263.184.998.978,-204.236.259.149
-262.985.998.973,-204.138.705.489
-262.786.998.967,-204.213.586.056
-262.587.998.962,-204.136.161.335
-262.388.998.956,-20.424.184.476
-262.189.998.951,-204.027.293.535
-261.990.998.945,-20.410.365.871
-26.179.199.894,-204.145.785.486
-261.592.998.934,-20.414.861.785
-261.393.998.929,-204.116.056.201
-261.194.998.923,-20.420.095.795
-260.995.998.918,-204.114.458.339
-260.796.998.912,-204.160.407.767
-260.597.998.906,-204.025.923.309
-260.398.998.901,-204.144.094.951
-260.199.998.895,-204.076.040.393
-26.000.099.889,-204.188.870.627
-259.801.998.884,-20.426.902.344
-259.602.998.879,-20.437.397.556
-259.403.998.873,-204.395.073.368
-259.204.998.868,-204.588.760.299
-259.005.998.862,-204.598.544.731
-258.806.998.857,-204.694.358.191
-258.607.998.851,-20.485.068.875
-258.408.998.846,-205.048.317.266
-25.820.999.884,-205.041.380.758
-258.010.998.835,-204.988.587.448
-257.811.998.829,-205.108.223.693
-257.612.998.824,-20.503.110.557
-257.413.998.818,-204.904.504.282
-257.214.998.813,-204.878.293.836
-257.015.998.807,-204.726.319.604
-256.816.998.802,-204.708.714.502
-256.617.998.796,-204.558.107.867
-25.641.899.879,-204.491.846.638
-256.219.998.785,-204.531.344.559
-256.020.998.779,-204.475.116.213
-255.821.998.774,-204.252.312.422
-255.622.998.768,-204.219.850.437
-255.423.998.763,-204.130.102.682
-255.224.998.757,-204.180.968.643
-255.025.998.752,-20.406.826.542
-254.826.998.746,-204.155.698.101
-254.627.998.741,-204.082.822.528
-254.428.998.735,-204.174.201.283
-25.422.999.873,-204.348.561.187
-254.030.998.724,-204.224.629.651
-253.831.998.719,-2.042.597.922
-253.632.998.713,-204.124.349.286
-253.433.998.708,-204.251.038.139
-253.234.998.702,-204.188.537.532
-253.035.998.697,-204.238.071.361
-252.836.998.691,-204.193.568.054
-252.637.998.686,-2.042.050.681
-25.243.899.868,-204.202.699.325
-252.239.998.674,-204.247.454.486
-252.040.998.669,-204.161.200.314
-251.841.998.663,-204.181.142.354
-251.642.998.658,-204.003.789.911
-251.443.998.652,-204.121.223.906
-251.244.998.647,-204.086.744.381
-251.045.998.641,-20.415.890.217
-250.846.998.636,-204.092.705.141
-25.064.799.863,-204.151.832.245
-250.448.998.625,-204.164.316.964
-250.249.998.619,-204.328.355.015
-250.050.998.614,-204.292.006.067
-249.851.998.608,-204.395.427.617
-249.652.998.603,-204.446.977.497
-249.453.998.597,-204.591.648.413
-249.254.998.592,-204.567.835.297
-249.055.998.586,-204.809.201.693
-248.856.998.581,-204.820.597.772
-248.657.998.575,-204.997.595.697
-24.845.899.857,-205.160.598.322
-248.259.998.564,-205.153.328.497
-248.060.998.559,-205.086.976.056
-247.861.998.553,-205.081.171.398
-247.662.998.547,-204.921.477.626
-247.463.998.542,-204.923.887.984
-247.264.998.536,-204.764.659.045
-247.065.998.531,-204.826.233.192
-246.866.998.525,-204.680.962.351
-24.666.799.852,-204.605.021.856
-246.468.998.514,-204.536.174.115
-246.269.998.509,-204.390.908.511
-246.070.998.503,-204.322.235.612
-245.871.998.498,-204.119.693.802
-245.672.998.492,-204.134.738.759
-245.473.998.487,-20.404.616.713
-245.274.998.481,-204.112.582.871
-245.075.998.476,-204.057.543.031
-24.487.699.847,-20.416.583.234
-244.677.998.465,-204.206.707.378
-244.478.998.459,-204.360.410.925
-244.279.998.454,-204.310.375.106
-244.080.998.448,-204.309.952.186
-243.881.998.443,-204.244.602.018
-243.682.998.437,-204.461.594.232
-243.483.998.431,-204.293.158.152
-243.284.998.426,-204.432.099.275
-24.308.599.842,-204.930.435.653
-242.886.998.415,-205.071.936.449
-242.687.998.409,-20.488.916.257
-242.488.998.404,-204.907.058.448
-242.289.998.398,-204.852.290.844
-242.090.998.393,-204.891.922.833
-241.891.998.387,-204.904.140.852
-241.692.998.382,-204.916.635.647
-241.493.998.376,-204.882.150.517
-241.294.998.371,-204.924.670.847
-241.095.998.365,-204.792.662.294
-24.089.699.836,-20.497.797.366
-240.697.998.354,-204.891.941.113
-240.498.998.349,-204.985.654.882
-240.299.998.343,-204.932.393.999
-240.100.998.338,-205.077.104.408
-239.901.998.332,-205.041.124.358
-239.702.998.327,-205.189.891.033
-239.503.998.321,-20.526.699.998
-239.304.998.316,-205.406.299.525
-23.910.599.831,-205.470.826.682
-238.906.998.304,-205.583.767.273
-238.707.998.299,-205.717.720.017
-238.508.998.293,-205.868.529.548
-238.309.998.288,-205.843.965.333
-238.110.998.282,-205.807.086.846
-237.911.998.277,-205.823.597.791
-237.712.998.271,-205.867.873.852
-237.513.998.266,-205.739.791.841
-23.731.499.826,-205.613.266.279
-237.115.998.255,-205.531.172.103
-236.916.998.249,-205.414.100.349
-236.717.998.244,-205.414.933.222
