time-(ms)-h-i,voltage-near-axon-(microV)-h-i
-147.565.995.769,-18.376.310.573
-147.366.995.764,-183.746.668.673
-147.167.995.758,-178.036.386.201
-146.968.995.753,-173.893.943.584
-146.769.995.747,-174.353.695.586
-146.570.995.742,-181.241.091.042
-146.371.995.736,-190.509.284.928
-146.172.995.731,-188.840.879.994
-145.973.995.725,-188.346.212.228
-14.577.499.572,-190.731.060.794
-145.575.995.714,-193.186.162.614
-145.376.995.709,-193.614.342.859
-145.177.995.703,-200.180.333.645
-144.978.995.698,-208.005.042.968
-144.779.995.692,-209.294.318.062
-144.580.995.687,-212.333.491.144
-144.381.995.681,-226.610.281.943
-144.182.995.676,-227.918.225.038
-14.398.399.567,-227.843.318.423
-143.784.995.664,-240.631.579.963
-143.585.995.659,-240.209.548.855
-143.386.995.653,-239.939.785.398
-143.187.995.648,-240.088.365.085
-142.988.995.642,-240.134.368.332
-142.789.995.637,-239.546.465.683
-142.590.995.631,-237.967.841.709
-142.391.995.626,-236.805.891.658
-14.219.299.562,-236.521.044.177
-141.993.995.615,-223.907.942.131
-141.794.995.609,-223.881.710.619
-141.595.995.604,-223.851.259.555
-141.396.995.598,-222.663.305.047
-141.197.995.593,-219.285.988.407
-140.998.995.587,-218.088.685.605
-140.799.995.582,-218.023.329.921
-140.600.995.576,-206.246.546.775
-140.401.995.571,-205.929.343.177
-140.202.995.565,-206.150.751.999
-14.000.399.556,-206.375.189.373
-139.804.995.554,-207.097.462.987
-139.605.995.548,-209.346.239.664
-139.406.995.543,-209.892.883.563
-139.207.995.537,-216.014.732.423
-139.008.995.532,-225.729.655.687
-138.809.995.526,-225.623.983.142
-138.610.995.521,-226.059.209.427
-138.411.995.515,-225.740.711.277
-13.821.299.551,-225.883.235.931
-138.013.995.504,-227.988.220.398
-137.814.995.499,-227.180.654.479
-137.615.995.493,-232.525.095.494
-137.416.995.488,-240.910.399.328
-137.217.995.482,-23.485.858.578
-137.018.995.477,-239.823.916.724
-136.819.995.471,-238.571.533.254
-136.620.995.466,-238.256.046.033
-13.642.199.546,-227.715.612.489
-136.222.995.455,-222.566.187.293
-136.023.995.449,-221.482.267.544
-135.824.995.444,-221.338.965.358
-135.625.995.438,-221.346.284.613
-135.426.995.433,-221.279.655.126
-135.227.995.427,-223.797.549.221
-135.028.995.421,-225.084.334.978
-134.829.995.416,-227.451.411.043
-13.463.099.541,-228.177.012.753
-134.431.995.405,-231.549.624.287
-134.232.995.399,-241.170.251.731
-134.033.995.394,-241.008.857.073
-133.834.995.388,-240.901.423.571
-133.635.995.383,-240.950.060.058
-133.436.995.377,-24.090.374.388
-133.237.995.372,-240.891.701.982
-133.038.995.366,-240.890.606.003
-132.839.995.361,-240.864.960.236
-132.640.995.355,-240.775.948.796
-13.244.199.535,-24.090.717.848
-132.242.995.344,-240.559.323.767
-132.043.995.339,-238.303.357.912
-131.844.995.333,-237.773.231.326
-131.645.995.328,-234.527.285.781
-131.446.995.322,-22.726.488.766
-131.247.995.317,-227.673.985.548
-131.048.995.311,-230.782.805.266
-130.849.995.305,-240.622.205.377
-1.306.509.953,-240.966.886.512
-130.451.995.294,-241.064.112.215
-130.252.995.289,-241.455.922.006
-130.053.995.283,-241.332.114.352
-129.854.995.278,-241.357.975.677
-129.655.995.272,-240.845.482.895
-129.456.995.267,-240.886.464.504
-129.257.995.261,-240.929.286.053
-129.058.995.256,-240.516.967.307
-12.885.999.525,-240.662.154.988
-128.660.995.245,-240.716.207.265
-128.461.995.239,-24.086.503.613
-128.262.995.234,-238.644.082.091
-128.063.995.228,-235.586.315.444
-127.864.995.223,-232.178.758.925
-127.665.995.217,-219.494.975.858
-127.466.995.212,-217.968.737.209
-127.267.995.206,-217.308.969.609
-127.068.995.201,-20.562.133.655
-126.869.995.195,-205.756.857.687
-126.670.995.189,-205.764.652.947
-126.471.995.184,-20.542.860.654
-126.272.995.178,-205.276.570.967
-126.073.995.173,-204.975.080.953
-125.874.995.167,-204.496.116.159
-125.675.995.162,-202.847.849.964
-125.476.995.156,-20.156.084.667
-125.277.995.151,-198.804.914.937
-125.078.995.145,-189.166.844.205
-12.487.999.514,-191.264.507.504
-124.680.995.134,-192.454.323.138
-124.481.995.129,-192.550.785.828
-124.282.995.123,-2.046.291.405
-124.083.995.118,-204.750.602.453
-123.884.995.112,-205.108.550.005
-123.685.995.107,-205.019.681.724
-123.486.995.101,-204.982.427.824
-123.287.995.096,-204.629.027.995
-12.308.899.509,-204.991.744.044
-122.889.995.085,-205.376.243.755
-122.690.995.079,-205.909.888.957
-122.491.995.074,-206.360.872.279
-122.292.995.068,-208.682.340.562
-122.093.995.062,-208.800.904.534
-121.894.995.057,-214.944.857.046
-121.695.995.051,-221.048.809.267
-121.496.995.046,-221.034.388.407
-12.129.799.504,-221.187.816.827
-121.098.995.035,-221.077.216.459
-120.899.995.029,-22.130.373.604
-120.700.995.024,-223.908.156.374
-120.501.995.018,-224.479.792.925
-120.302.995.013,-224.377.593.706
-120.103.995.007,-224.213.863.643
-119.904.995.002,-224.177.431.726
-119.705.994.996,-224.623.272.831
-119.506.994.991,-224.950.362.279
-119.307.994.985,-225.255.198.011
-11.910.899.498,-225.877.602.728
-118.909.994.974,-226.076.599.028
-118.710.994.969,-225.576.707.725
-118.511.994.963,-225.549.534.444
-118.312.994.958,-224.273.724.552
-118.113.994.952,-22.178.770.961
-117.914.994.946,-221.741.416.925
-117.715.994.941,-222.105.801.336
-117.516.994.935,-222.115.883.739
-11.731.799.493,-222.208.924.145
-117.118.994.924,-222.219.879.843
-116.919.994.919,-224.581.681.764
-116.720.994.913,-224.606.416.716
-116.521.994.908,-221.578.100.275
-116.322.994.902,-22.129.111.047
-116.123.994.897,-220.825.051.334
-115.924.994.891,-221.311.120.431
-115.725.994.886,-224.008.796.047
-11.552.699.488,-223.926.370.335
-115.327.994.875,-223.888.022.981
-115.128.994.869,-223.897.686.435
-114.929.994.864,-224.007.934.865
-114.730.994.858,-224.309.953.001
-114.531.994.853,-224.337.448.735
-114.332.994.847,-224.245.835.473
-114.133.994.842,-221.642.137.273
-113.934.994.836,-22.029.260.166
-113.735.994.831,-218.117.872.979
-113.536.994.825,-217.604.689.108
-113.337.994.819,-215.447.950.645
-113.138.994.814,-206.730.967.606
-112.939.994.808,-205.034.867.244
-112.740.994.803,-213.524.559.542
-112.541.994.797,-207.718.449.856
-112.342.994.792,-204.616.230.189
-112.143.994.786,-204.593.284.924
-111.944.994.781,-204.442.459.631
-111.745.994.775,-204.606.256.579
-11.154.699.477,-204.291.752.978
-111.347.994.764,-201.634.308.354
-111.148.994.759,-200.881.410.356
-110.949.994.753,-195.450.429.443
-110.750.994.748,-185.141.988.347
-110.551.994.742,-184.912.750.102
-110.352.994.737,-185.677.299.405
-110.153.994.731,-186.006.947.221
-109.954.994.726,-186.382.854.273
-10.975.599.472,-188.642.455.887
-109.556.994.715,-190.168.794.425
-109.357.994.709,-189.707.567.476
-109.158.994.703,-187.072.186.591
-108.959.994.698,-186.856.839.958
-108.760.994.692,-186.752.526.434
-108.561.994.687,-186.684.367.646
-108.362.994.681,-186.687.104.943
-108.163.994.676,-189.138.212.818
-10.796.499.467,-192.617.521.141
-107.765.994.665,-193.035.253.312
-107.566.994.659,-200.924.407.597
-107.367.994.654,-20.557.585.021
-107.168.994.648,-205.618.470.835
-106.969.994.643,-205.292.812.673
-106.770.994.637,-205.071.436.431
-106.571.994.632,-204.226.742.042
-106.372.994.626,-20.187.259.639
-106.173.994.621,-201.474.872.482
-105.974.994.615,-195.077.332.527
-10.577.599.461,-18.800.868.209
-105.576.994.604,-186.220.693.926
-105.377.994.599,-189.110.745.308
-105.178.994.593,-189.770.009.149
-104.979.994.587,-189.997.149.944
-104.780.994.582,-189.975.339.984
-104.581.994.576,-191.381.244.157
-104.382.994.571,-192.061.451.456
-104.183.994.565,-191.106.920.871
-10.398.499.456,-204.119.187.534
-103.785.994.554,-204.782.170.022
-103.586.994.549,-198.558.240.054
-103.387.994.543,-204.526.245.913
-103.188.994.538,-205.000.992.924
-102.989.994.532,-205.359.076.957
-102.790.994.527,-205.247.879.438
-102.591.994.521,-205.331.658.429
-102.392.994.516,-205.422.308.878
-10.219.399.451,-205.836.365.661
-101.994.994.505,-205.919.942.862
-101.795.994.499,-20.792.903.484
-101.596.994.494,-209.115.825.552
-101.397.994.488,-208.987.331.865
-101.198.994.483,-22.220.685.228
-100.999.994.477,-224.580.169.771
-100.800.994.472,-224.578.386.594
-100.601.994.466,-224.631.655.357
-10.040.299.446,-224.810.013.213
-100.203.994.455,-225.501.347.469
-100.004.994.449,-227.820.452.633
-998.059.944.439,-227.778.765.258
-996.069.944.384,-231.354.581.815
-994.079.944.328,-237.837.774.535
-992.089.944.273,-232.091.599.256
-990.099.944.218,-225.493.598.229
-988.109.944.163,-227.718.627.837
-986.119.944.108,-226.042.502.063
-984.129.944.052,-230.999.406.371
-982.139.943.997,-232.735.647.272
-980.149.943.942,-225.522.353.083
-978.159.943.887,-225.447.697.685
-976.169.943.831,-224.081.784.164
-974.179.943.776,-221.352.172.359
-972.189.943.721,-218.816.665.013
-970.199.943.666,-218.180.441.991
-96.820.994.361,-214.080.941.889
-966.219.943.555,-205.276.243.132
-9.642.299.435,-205.319.544.483
-962.239.943.445,-205.758.138.191
-96.024.994.339,-206.050.114.631
-958.259.943.334,-205.702.323.222
-956.269.943.279,-205.836.106.269
-954.279.943.224,-206.233.404.667
-952.289.943.169,-206.058.594.569
-950.299.943.113,-206.104.069.145
-948.309.943.058,-206.396.959.714
-946.319.943.003,-20.653.273.927
-944.329.942.948,-208.335.862.647
-942.339.942.892,-210.931.858.687
-940.349.942.837,-215.049.437.227
-938.359.942.782,-225.518.995.153
-936.369.942.727,-227.122.172.437
-934.379.942.672,-226.989.223.892
-932.389.942.616,-236.445.878.463
-930.399.942.561,-240.030.329
-928.409.942.506,-237.782.181.311
-926.419.942.451,-236.867.775.554
-924.429.942.395,-233.832.832.823
-92.243.994.234,-221.463.294.402
-920.449.942.285,-220.010.788.814
-91.845.994.223,-220.025.929.277
-916.469.942.174,-220.596.755.267
-914.479.942.119,-220.835.337.416
-912.489.942.064,-220.934.090.758
-910.499.942.009,-221.597.309.121
-908.509.941.954,-222.258.421.622
-906.519.941.898,-221.218.621.172
-904.529.941.843,-221.429.204.322
-902.539.941.788,-221.454.613.378
-900.549.941.733,-221.677.560.289
-898.559.941.677,-221.855.627.865
-896.569.941.622,-222.058.707.847
-894.579.941.567,-222.627.532.077
-892.589.941.512,-22.563.552.728
-890.599.941.456,-225.751.724.589
-888.609.941.401,-22.586.257.057
-886.619.941.346,-225.815.618.341
-884.629.941.291,-225.421.247.976
-882.639.941.236,-225.543.423.099
-88.064.994.118,-225.649.325.282
-878.659.941.125,-225.848.655.222
-87.666.994.107,-225.338.572.054
-874.679.941.015,-225.229.475.373
-872.689.940.959,-225.137.183.009
-870.699.940.904,-224.976.529.701
-868.709.940.849,-224.507.456.789
-866.719.940.794,-222.735.263.195
-864.729.940.739,-220.585.823.258
-862.739.940.683,-220.485.262.113
-860.749.940.628,-219.878.471.406
-858.759.940.573,-217.752.560.042
-856.769.940.518,-217.488.449.441
-854.779.940.462,-211.237.618.157
-852.789.940.407,-205.131.705.544
-850.799.940.352,-205.396.939.804
-848.809.940.297,-204.939.717.707
-846.819.940.241,-205.121.333.685
-844.829.940.186,-204.966.536.271
-842.839.940.131,-204.931.468.813
-840.849.940.076,-204.964.841.922
-838.859.940.021,-204.919.849.544
-836.869.939.965,-205.496.457.393
-83.487.993.991,-20.569.542.212
-832.889.939.855,-20.559.217.234
-8.308.999.398,-205.670.597.686
-828.909.939.744,-205.698.826.257
-826.919.939.689,-205.918.599.593
-824.929.939.634,-206.021.780.201
-822.939.939.579,-206.178.488.432
-820.949.939.523,-205.991.714.962
-818.959.939.468,-206.408.052.836
-816.969.939.413,-208.654.424.248
-814.979.939.358,-210.608.887.802
-812.989.939.303,-218.139.238.275
-810.999.939.247,-224.630.484.318
-809.009.939.192,-224.630.049.553
-807.019.939.137,-225.081.808.167
-805.029.939.082,-225.071.979.885
-803.039.939.026,-225.408.710.604
-801.049.938.971,-225.406.021.508
-799.059.938.916,-225.627.336.465
-797.069.938.861,-225.301.398.349
-795.079.938.805,-225.679.251.723
-79.308.993.875,-226.046.738.099
-791.099.938.695,-226.272.196.688
-78.910.993.864,-226.578.114.451
-787.119.938.585,-228.867.595.272
-785.129.938.529,-229.607.042.929
-783.139.938.474,-235.086.545.834
-781.149.938.419,-242.421.698.113
-779.159.938.364,-242.787.923.151
-777.169.938.308,-242.409.540.043
-775.179.938.253,-242.164.099.175
-773.189.938.198,-242.090.052.786
-771.199.938.143,-241.753.573.397
-769.209.938.087,-241.884.937.625
-767.219.938.032,-241.641.564.437
-765.229.937.977,-241.552.676.582
-763.239.937.922,-241.590.708.329
-761.249.937.867,-241.678.058.548
-759.259.937.811,-241.843.429.777
-757.269.937.756,-241.914.448.778
-755.279.937.701,-241.773.158.786
-753.289.937.646,-241.482.748.325
-75.129.993.759,-240.978.992.184
-749.309.937.535,-24.076.636.316
-74.731.993.748,-240.580.789.545
-745.329.937.425,-239.710.240.271
-743.339.937.369,-237.877.294.684
-741.349.937.314,-237.985.851.021
-739.359.937.259,-229.855.318.322
-737.369.937.204,-225.450.181.748
-735.379.937.149,-228.103.478.974
-733.389.937.093,-228.821.828.157
-731.399.937.038,-225.228.420.694
-729.409.936.983,-225.101.716.783
-727.419.936.928,-224.982.873.929
-725.429.936.872,-224.978.358.714
-723.439.936.817,-224.355.387.775
-721.449.936.762,-224.027.372.913
-719.459.936.707,-223.852.796.581
-717.469.936.651,-22.413.324.513
-715.479.936.596,-224.883.341.196
-713.489.936.541,-226.839.355.072
-711.499.936.486,-22.492.334.036
-709.509.936.431,-233.550.077.677
-707.519.936.375,-233.889.953.933
-70.552.993.632,-224.361.101.008
-703.539.936.265,-224.029.900.638
-70.154.993.621,-223.852.780.821
-699.559.936.154,-221.057.667.671
-697.569.936.099,-221.246.764.437
-695.579.936.044,-221.353.599.093
-693.589.935.989,-221.449.452.904
-691.599.935.933,-220.661.696.717
-689.609.935.878,-218.886.097.197
-687.619.935.823,-218.789.382.992
-685.629.935.768,-210.121.835.457
-683.639.935.713,-205.575.471.591
-681.649.935.657,-205.208.235.726
-679.659.935.602,-205.250.370.923
-677.669.935.547,-205.089.934.112
-675.679.935.492,-205.223.173.206
-673.689.935.436,-205.627.181.594
-671.699.935.381,-205.409.940.383
-669.709.935.326,-205.178.206.843
-667.719.935.271,-205.428.468.865
-665.729.935.216,-205.269.816.722
-66.373.993.516,-205.554.141.672
-661.749.935.105,-20.515.360.831
-65.975.993.505,-20.565.569.123
-657.769.934.995,-205.710.250.487
-655.779.934.939,-207.690.478.288
-653.789.934.884,-209.257.538.193
-651.799.934.829,-212.452.056.413
-649.809.934.774,-224.677.325.567
-647.819.934.718,-224.925.400.566
-645.829.934.663,-224.970.924.147
-643.839.934.608,-225.335.014.331
-641.849.934.553,-225.112.315.457
-639.859.934.498,-225.216.700.845
-637.869.934.442,-225.172.863.016
-635.879.934.387,-225.101.273.038
-633.889.934.332,-226.608.213.623
-631.899.934.277,-227.733.807.178
-629.909.934.221,-227.951.691.987
-627.919.934.166,-240.109.206.321
-625.929.934.111,-240.185.681.807
-623.939.934.056,-24.023.919.285
-621.949.934,-24.011.190.064
-619.959.933.945,-240.080.021.642
-61.796.993.389,-24.001.826.369
-615.979.933.835,-239.570.758.145
-61.398.993.378,-236.973.893.655
-611.999.933.724,-236.853.630.725
-610.009.933.669,-230.258.638.483
-608.019.933.614,-222.537.808.774
-606.029.933.559,-220.430.982.286
-604.039.933.503,-218.905.204.576
-602.049.933.448,-217.796.385.982
-600.059.933.393,-217.793.253.248
-598.069.933.338,-206.143.532.973
-596.079.933.282,-205.740.233.602
-594.089.933.227,-205.756.675.088
-592.099.933.172,-206.166.469.733
-590.109.933.117,-206.326.142.413
-588.119.933.062,-206.393.804.868
-586.129.933.006,-206.052.703.197
-584.139.932.951,-205.949.180.361
-582.149.932.896,-206.137.262.892
-580.159.932.841,-205.775.658.367
-578.169.932.785,-204.490.696.777
-57.617.993.273,-205.520.015.836
-574.189.932.675,-199.517.283.874
-57.219.993.262,-202.341.014.362
-570.209.932.564,-201.898.772.981
-568.219.932.509,-19.385.361.036
-566.229.932.454,-204.949.873.057
-564.239.932.399,-208.908.414.278
-562.249.932.344,-209.772.722.801
-560.259.932.288,-221.694.165.224
-558.269.932.233,-224.668.134.366
-556.279.932.178,-224.719.795.236
-554.289.932.123,-224.458.097.872
-552.299.932.067,-22.498.180.993
-550.309.932.012,-22.496.700.088
-548.319.931.957,-224.804.747.461
-546.329.931.902,-224.836.843.773
-544.339.931.846,-22.479.782.065
-542.349.931.791,-224.914.838.418
-540.359.931.736,-224.676.806.574
-538.369.931.681,-22.510.358.076
-536.379.931.626,-224.900.985.968
-53.438.993.157,-223.536.652.748
-532.399.931.515,-221.202.001.527
-53.040.993.146,-223.849.788.716
-528.419.931.405,-224.063.540.589
-526.429.931.349,-224.143.045.503
-524.439.931.294,-224.078.520.681
-522.449.931.239,-224.388.103.857
-520.459.931.184,-224.491.331.685
-518.469.931.128,-224.429.732.793
-516.479.931.073,-224.436.317.293
-514.489.931.018,-22.390.141.157
-512.499.930.963,-22.111.628.462
-510.509.930.908,-221.176.803.208
-508.519.930.852,-221.210.987.214
-506.529.930.797,-221.475.624.703
-504.539.930.742,-221.404.420.676
-502.549.930.687,-223.839.470.448
-500.559.930.631,-22.570.167.507
-498.569.930.576,-226.009.633.956
-496.579.930.521,-2.260.782.404
-494.589.930.466,-226.275.211.356
-49.259.993.041,-226.210.902.192
-490.609.930.355,-226.251.907.073
-4.886.199.303,-225.509.042.969
-486.629.930.245,-225.710.364.586
-48.463.993.019,-225.176.547.468
-482.649.930.134,-225.303.884.664
-480.659.930.079,-225.005.291.343
-478.669.930.024,-225.439.377.012
-476.679.929.969,-225.520.352.653
-474.689.929.913,-225.883.178.517
-472.699.929.858,-22.593.958.395
-470.709.929.803,-225.560.154.088
-468.719.929.748,-224.737.800.117
-466.729.929.692,-221.965.262.577
-464.739.929.637,-221.391.418.409
-462.749.929.582,-221.392.942.727
-460.759.929.527,-221.218.482.382
-458.769.929.472,-221.374.600.342
-456.779.929.416,-22.133.485.635
-454.789.929.361,-222.951.387.926
-452.799.929.306,-224.844.648.676
-450.809.929.251,-224.936.447.868
-448.819.929.195,-22.358.228.173
-44.682.992.914,-224.479.542.029
-444.839.929.085,-22.662.762.232
-44.284.992.903,-228.171.955.764
-440.859.928.975,-227.943.835.025
-438.869.928.919,-24.097.724.401
-436.879.928.864,-241.440.600.949
-434.889.928.809,-241.188.692.968
-432.899.928.754,-240.750.050.228
-430.909.928.698,-240.719.022.679
-428.919.928.643,-240.532.994.714
-426.929.928.588,-24.000.431.301
-424.939.928.533,-240.068.569.746
-422.949.928.477,-239.835.627.762
-420.959.928.422,-238.041.944.001
-418.969.928.367,-236.881.457.959
-416.979.928.312,-236.567.823.712
-414.989.928.257,-223.763.742.863
-412.999.928.201,-220.894.467.635
-411.009.928.146,-218.642.547.802
-409.019.928.091,-217.437.777.437
-407.029.928.036,-217.738.521.422
-40.503.992.798,-20.563.531.898
-403.049.927.925,-205.142.001.563
-40.105.992.787,-205.492.481.314
-399.069.927.815,-204.471.599.881
-397.079.927.759,-203.769.134.233
-395.089.927.704,-204.748.348.459
-393.099.927.649,-194.797.835.485
-391.109.927.594,-194.342.328.677
-389.119.927.539,-205.982.594.695
-387.129.927.483,-207.059.419.785
-385.139.927.428,-209.680.104.029
-383.149.927.373,-209.697.317.969
-381.159.927.318,-216.765.141.898
-379.169.927.262,-226.016.708.649
-377.179.927.207,-227.555.673.401
-375.189.927.152,-228.754.816.952
-373.199.927.097,-229.729.498.533
-371.209.927.041,-239.483.830.255
-369.219.926.986,-241.685.260.718
-367.229.926.931,-241.364.014.627
-365.239.926.876,-241.668.040.067
-363.249.926.821,-241.387.787.751
-361.259.926.765,-24.159.429.526
-35.926.992.671,-241.043.546.399
-357.279.926.655,-241.737.649.534
-3.552.899.266,-240.511.296.021
-353.299.926.544,-238.574.409.721
-351.309.926.489,-2.377.182.661
-349.319.926.434,-234.664.546.123
-347.329.926.379,-224.736.512.009
-345.339.926.323,-225.327.393.483
-343.349.926.268,-226.148.602.412
-341.359.926.213,-22.783.059.271
-339.369.926.158,-227.683.132.351
-337.379.926.103,-236.797.504.936
-335.389.926.047,-239.767.482.902
-333.399.925.992,-239.682.260.184
-331.409.925.937,-239.835.089.355
-329.419.925.882,-239.907.425.677
-327.429.925.826,-239.737.308.365
-325.439.925.771,-237.412.183.219
-323.449.925.716,-236.579.571.183
-321.459.925.661,-233.222.852.137
-319.469.925.606,-223.043.811.777
-31.747.992.555,-22.287.936.678
-315.489.925.495,-220.639.868.342
-31.349.992.544,-219.477.540.293
-311.509.925.385,-217.388.100.414
-309.519.925.329,-216.248.957.183
-307.529.925.274,-213.784.916.616
-305.539.925.219,-202.627.967.619
-303.549.925.164,-201.131.490.814
-301.559.925.108,-200.293.896.179
-299.569.925.053,-190.020.317.825
-297.579.924.998,-184.832.627.367
-295.589.924.943,-184.449.682.656
-293.599.924.888,-182.181.353.907
-291.609.924.832,-182.567.595.617
-289.619.924.777,-173.817.376.155
-287.629.924.722,-16.697.083.845
-285.639.924.667,-163.833.485.211
-283.649.924.611,-16.018.362.956
-281.659.924.556,-148.975.964.935
-279.669.924.501,-148.717.061.984
-277.679.924.446,-147.996.630.527
-27.568.992.439,-147.572.500.483
-273.699.924.335,-144.926.775.743
-27.170.992.428,-144.536.601.094
-269.719.924.225,-136.973.071.652
-26.772.992.417,-131.257.926.978
-265.739.924.114,-130.119.030.931
-263.749.924.059,-126.866.746.795
-261.759.924.004,-124.521.917.145
-259.769.923.949,-118.252.162.629
-257.779.923.893,-111.304.686.225
-255.789.923.838,-109.145.701.604
-253.799.923.783,-108.025.513.586
-251.809.923.728,-101.781.355.481
-249.819.923.672,-931.241.451.796
-247.829.923.617,-89.189.126.695
-245.839.923.562,-884.165.298.142
-243.849.923.507,-818.749.218.559
-241.859.923.452,-748.777.400.481
-239.869.923.396,-731.640.960.243
-237.879.923.341,-727.027.556.317
-235.889.923.286,-717.328.973.648
-233.899.923.231,-591.725.306.452
-231.909.923.175,-632.622.087.114
-22.991.992.312,-525.766.973.968
-227.929.923.065,-520.279.991.938
-22.593.992.301,-433.378.544.327
-223.949.922.954,-319.360.198.707
-221.959.922.899,-315.756.684.943
-219.969.922.844,-195.637.896.731
-217.979.922.789,-944.182.292.188
-215.989.922.734,-895.277.200.901
-213.999.922.678,-931.449.155.311
-212.009.922.623,-108.183.933.365
-210.019.922.568,-132.856.133.974
-208.029.922.513,-13.206.867.778
-206.039.922.457,-135.874.846.408
-204.049.922.402,-13.330.915.645
-202.059.922.347,-111.594.422.092
-200.069.922.292,-113.291.125.142
-198.079.922.237,-143.007.659.987
-196.089.922.181,-144.131.249.397
-194.099.922.126,-149.109.291.266
-192.109.922.071,-162.545.046.587
-190.119.922.016,-18.783.888.312
-18.812.992.196,-181.481.280.112
-186.139.921.905,-340.293.693.708
-18.414.992.185,-360.931.349.011
-182.159.921.795,-342.389.761.183
-180.169.921.739,-335.369.143.805
-178.179.921.684,-204.339.938.925
-176.189.921.629,-177.034.150.608
-174.199.921.574,-184.802.402.128
-172.209.921.519,-317.213.761.476
-170.219.921.463,-379.928.772.778
-168.229.921.408,-375.078.242.678
-166.239.921.353,-377.841.565.482
-164.249.921.298,-372.304.956.765
-162.259.921.242,-377.617.852.411
-160.269.921.187,-371.325.248.451
-158.279.921.132,-377.577.102.519
-156.289.921.077,-372.994.359.959
-154.299.921.021,-386.876.728.075
-152.309.920.966,-40.465.070.111
-150.319.920.911,-384.830.100.685
-148.329.920.856,-487.142.348.346
-146.339.920.801,-494.141.958.819
-144.349.920.745,-37.509.902.918
-14.235.992.069,-376.384.166.774
-140.369.920.635,-373.938.167.981
-13.837.992.058,-376.711.532.653
-136.389.920.524,-378.075.007.529
-134.399.920.469,-378.412.848.392
-132.409.920.414,-376.767.615.265
-130.419.920.359,-376.233.140.876
-128.429.920.303,-378.729.160.207
-126.439.920.248,-371.420.631.681
-124.449.920.193,-374.233.283.736
-122.459.920.138,-402.376.268.118
-120.469.920.083,-437.370.893.281
-118.479.920.027,-477.477.346.443
-116.489.919.972,-598.485.757.075
-114.499.919.917,-594.475.558.733
-112.509.919.862,-600.834.613.829
-110.519.919.806,-597.040.799.331
-108.529.919.751,-601.747.854.259
-106.539.919.696,-588.930.219.092
-104.549.919.641,-573.903.973.819
-102.559.919.585,-5.744.982.649
-10.056.991.953,-568.999.033.858
-98.579.919.475,-543.314.451.908
-965.899.194.198,-542.524.370.395
-945.999.193.645,-534.064.033.185
-926.099.193.093,-424.711.688.762
-906.199.192.541,-442.551.736.869
-886.299.191.989,-569.705.077.827
-866.399.191.436,-54.532.891.402
-846.499.190.884,-539.990.041.416
-826.599.190.332,-514.938.516.237
-806.699.189.779,-387.125.406.119
-786.799.189.227,-375.943.444.181
-766.899.188.675,-356.458.211.325
-746.999.188.123,-369.316.103.265
-72.709.918.757,-37.874.455.236
-707.199.187.018,-261.974.191.229
-687.299.186.466,-369.353.129.386
-667.399.185.913,-364.618.807.281
-647.499.185.361,-367.565.784.886
-627.599.184.809,-363.606.275.075
-607.699.184.257,-369.140.520.678
-587.799.183.704,-368.745.737.185
-567.899.183.152,-37.222.797.787
-5.479.991.826,-369.584.948.137
-528.099.182.047,-372.587.981.758
-508.199.181.495,-369.946.828.939
-488.299.180.943,-364.244.124.001
-46.839.918.039,-323.878.197.109
-448.499.179.838,-32.210.544.074
-428.599.179.286,-215.239.501.678
-408.699.178.734,-107.725.579.522
-388.799.178.181,-925.245.221.075
-368.899.177.629,-920.108.633.962
-348.999.177.077,-494.248.966.925
-329.099.176.524,-868.922.771.272
-309.199.175.972,-11.792.061.513
-28.929.917.542,-364.282.836.283
-269.399.174.867,487.762.677.429
-249.499.174.315,146.207.879.986
-229.599.173.763,268.410.784.791
-209.699.173.211,470.486.150.792
-189.799.172.658,662.106.383.372
-169.899.172.106,124.048.204.337
-149.999.171.554,194.194.498.698
-130.099.171.001,289.919.919.584
-110.199.170.449,429.260.958.462
-902.991.698.968,625.298.321.571
-703.991.693.445,85.367.231.183
-504.991.687.922,113.076.980.598
-305.991.682.399,146.358.009.854
-106.991.676.876,182.892.852.305
920.083.286.474,218.627.580.129
29.100.833.417,250.340.305.376
490.008.339.693,278.827.986.161
689.008.345.216,299.740.920.088
888.008.350.739,312.748.293.977
108.700.835.626,31.712.614.965
128.600.836.179,316.538.225.668
148.500.836.731,309.421.086.096
168.400.837.283,30.098.955.529
188.300.837.835,293.943.676.282
208.200.838.388,289.041.362.164
22.810.083.894,286.008.146.374
248.000.839.492,286.291.639.592
267.900.840.045,288.352.086.906
287.800.840.597,291.666.337.951
307.700.841.149,294.391.684.376
327.600.841.701,295.801.827.863
347.500.842.254,295.248.318.398
367.400.842.806,291.795.672.792
387.300.843.358,286.428.093.528
407.200.843.911,278.572.813.603
427.100.844.463,269.480.902.829
447.000.845.015,25.919.064.621
466.900.845.568,247.204.336.985
48.680.084.612,234.799.531.593
506.700.846.672,222.253.639.261
526.600.847.224,208.855.726.061
546.500.847.777,197.504.970.424
566.400.848.329,1.855.881.261
586.300.848.881,172.830.773.313
606.200.849.434,162.333.698.328
626.100.849.986,151.157.537.793
646.000.850.538,140.537.385.021
665.900.851.091,131.434.481.519
685.800.851.643,122.700.567.188
705.700.852.195,113.560.998.537
725.600.852.747,106.244.448.713
7.455.008.533,991.910.725.768
765.400.853.852,926.941.885.445
