V axon soma stm a-f,Firing modulation soma stm a-f,V axon axon stm a-f,Firing modulation axon stm a-f,V axon soma stm g,Firing modulation soma stm g,V axon axon stm g,Firing modulation axon stm g,time (ms) h-i,voltage near axon (microV) h-i,time (ms) h-i,firing modulation (Hz; green trace) h-i
,,,,,,,,-142.590.995.631,-237.967.841.709,-169.653.667.255,660.693.615.997
,,,,,,,,-142.391.995.626,-236.805.891.658,-169.487.000.589,660.787.298.917
,,,,,,,,-14.219.299.562,-236.521.044.177,-169.320.333.922,66.089.826.539
,,,,,,,,-141.993.995.615,-223.907.942.131,-169.153.667.255,661.027.806.974
,,,,,,,,-141.794.995.609,-223.881.710.619,-168.987.000.589,661.177.198.583
,,,,,,,,-141.595.995.604,-223.851.259.555,-168.820.333.922,661.347.684.002
,,,,,,,,-141.396.995.598,-222.663.305.047,-168.653.667.255,66.154.046.108
,,,,,,,,-141.197.995.593,-219.285.988.407,-168.487.000.589,66.175.666.677
,,,,,,,,-140.998.995.587,-218.088.685.605,-168.320.333.922,661.997.362.132
,,,,,,,,-140.799.995.582,-218.023.329.921,-168.153.667.255,662.263.517.472
,,,,,,,,-140.600.995.576,-206.246.546.775,-167.987.000.589,662.555.997.768
,,,,,,,,-140.401.995.571,-205.929.343.177,-167.820.333.922,662.875.548.538
,,,,,,,,-140.202.995.565,-206.150.751.999,-167.653.667.255,663.222.782.348
,,,,,,,,-14.000.399.556,-206.375.189.373,-167.487.000.589,663.598.166.104
,,,,,,,,-139.804.995.554,-207.097.462.987,-167.320.333.922,664.002.009.324
,,,,,,,,-139.605.995.548,-209.346.239.664,-167.153.667.255,664.434.453.564
,,,,,,,,-139.406.995.543,-209.892.883.563,-166.987.000.589,664.895.463.157
,,,,,,,,-139.207.995.537,-216.014.732.423,-166.820.333.922,665.384.817.448
,,,,,,,,-139.008.995.532,-225.729.655.687,-166.653.667.255,665.902.104.664
,,,,,,,,-138.809.995.526,-225.623.983.142,-166.487.000.589,666.446.717.562
,,,,,,,,-138.610.995.521,-226.059.209.427,-166.320.333.922,667.017.850.979
,,,,,,,,-138.411.995.515,-225.740.711.277,-166.153.667.255,667.614.501.379
,,,,,,,,-13.821.299.551,-225.883.235.931,-165.987.000.589,668.235.468.468
,,,,,,,,-138.013.995.504,-227.988.220.398,-165.820.333.922,668.879.358.924
,,,,,,,,-137.814.995.499,-227.180.654.479,-165.653.667.255,669.544.592.257
,,,,,,,,-137.615.995.493,-232.525.095.494,-165.487.000.589,670.229.408.768
,,,,,,,,-137.416.995.488,-240.910.399.328,-165.320.333.922,670.931.879.568
,,,,,,,,-137.217.995.482,-23.485.858.578,-165.153.667.255,671.649.918.553
,,,,,,,,-137.018.995.477,-239.823.916.724,-164.987.000.589,672.381.296.226
,,,,,,,,-136.819.995.471,-238.571.533.254,-164.820.333.922,6.731.236.552
,,,,,,,,-136.620.995.466,-238.256.046.033,-164.653.667.255,673.874.527.203
,,,,,,,,-13.642.199.546,-227.715.612.489,-164.487.000.589,674.631.351.371
,,,,,,,,-136.222.995.455,-222.566.187.293,-164.320.333.922,675.391.493.599
,,,,,,,,-136.023.995.449,-221.482.267.544,-164.153.667.255,676.152.266.686
,,,,,,,,-135.824.995.444,-221.338.965.358,-163.987.000.589,676.910.951.026
,,,,,,,,-135.625.995.438,-221.346.284.613,-163.820.333.922,677.664.815.555
,,,,,,,,-135.426.995.433,-221.279.655.126,-163.653.667.255,678.411.138.695
,,,,,,,,-135.227.995.427,-223.797.549.221,-163.487.000.589,679.147.229.006
,,,,,,,,-135.028.995.421,-225.084.334.978,-163.320.333.922,679.870.445.313
,,,,,,,,-134.829.995.416,-227.451.411.043,-163.153.667.255,680.578.216.039
,,,,,,,,-13.463.099.541,-228.177.012.753,-162.987.000.589,68.126.805.753
,,,,,,,,-134.431.995.405,-231.549.624.287,-162.820.333.922,681.937.591.183
,,,,,,,,-134.232.995.399,-241.170.251.731,-162.653.667.255,682.584.559.189
,,,,,,,,-134.033.995.394,-241.008.857.073,-162.487.000.589,683.206.838.766
,,,,,,,,-133.834.995.388,-240.901.423.571,-162.320.333.922,683.802.454.776
,,,,,,,,-133.635.995.383,-240.950.060.058,-162.153.667.255,684.369.590.647
,,,,,,,,-133.436.995.377,-24.090.374.388,-161.987.000.589,684.906.597.574
,,,,,,,,-133.237.995.372,-240.891.701.982,-161.820.333.922,685.412.001.989
,,,,,,,,-133.038.995.366,-240.890.606.003,-161.653.667.255,685.884.511.331
,,,,,,,,-132.839.995.361,-240.864.960.236,-161.487.000.589,686.323.018.182
,,,,,,,,-132.640.995.355,-240.775.948.796,-161.320.333.922,686.726.602.828
,,,,,,,,-13.244.199.535,-24.090.717.848,-161.153.667.255,687.094.534.384
,,,,,,,,-132.242.995.344,-240.559.323.767,-160.987.000.589,687.426.270.573
,,,,,,,,-132.043.995.339,-238.303.357.912,-160.820.333.922,687.721.456.314
,,,,,,,,-131.844.995.333,-237.773.231.326,-160.653.667.255,687.979.921.251
,,,,,,,,-131.645.995.328,-234.527.285.781,-160.487.000.589,688.201.676.367
,,,,,,,,-131.446.995.322,-22.726.488.766,-160.320.333.922,688.386.909.832
,,,,,,,,-131.247.995.317,-227.673.985.548,-160.153.667.255,688.535.982.214
,,,,,,,,-131.048.995.311,-230.782.805.266,-159.987.000.589,688.649.421.181
,,,,,,,,-130.849.995.305,-240.622.205.377,-159.820.333.922,688.727.915.806
,,,,,,,,-1.306.509.953,-240.966.886.512,-159.653.667.255,688.772.310.569
,,,,,,,,-130.451.995.294,-241.064.112.215,-159.487.000.589,688.783.599.136
,,,,,,,,-130.252.995.289,-241.455.922.006,-159.320.333.922,688.762.917.963
,,,,,,,,-130.053.995.283,-241.332.114.352,-159.153.667.255,688.711.539.777
,,,,,,,,-129.854.995.278,-241.357.975.677,-158.987.000.589,688.630.866.928
,,,,,,,,-129.655.995.272,-240.845.482.895,-158.820.333.922,688.522.424.635
,,,,,,,,-129.456.995.267,-240.886.464.504,-158.653.667.255,688.387.854.079
,,,,,,,,-129.257.995.261,-240.929.286.053,-158.487.000.589,688.228.905.322
,,,,,,,,-129.058.995.256,-240.516.967.307,-158.320.333.922,68.804.743
,,,,,,,,-12.885.999.525,-240.662.154.988,-158.153.667.255,687.845.373.727
,,,,,,,,-128.660.995.245,-240.716.207.265,-157.987.000.589,687.624.768.144
,,,,,,,,-128.461.995.239,-24.086.503.613,-157.820.333.922,687.387.722.541
,,,,,,,,-128.262.995.234,-238.644.082.091,-157.653.667.255,687.136.415.004
,,,,,,,,-128.063.995.228,-235.586.315.444,-157.487.000.589,686.873.082.983
,,,,,,,,-127.864.995.223,-232.178.758.925,-157.320.333.922,686.600.013.276
,,,,,,,,-127.665.995.217,-219.494.975.858,-157.153.667.255,686.319.531.339
,,,,,,,,-127.466.995.212,-217.968.737.209,-156.987.000.589,686.033.989.924
,,,,,,,,-127.267.995.206,-217.308.969.609,-156.820.333.922,685.745.757.024
,,,,,,,,-127.068.995.201,-20.562.133.655,-156.653.667.255,685.457.203.119
,,,,,,,,-126.869.995.195,-205.756.857.687,-156.487.000.589,685.170.687.778
,,,,,,,,-126.670.995.189,-205.764.652.947,-156.320.333.922,684.888.545.637
,,,,,,,,-126.471.995.184,-20.542.860.654,-156.153.667.255,684.613.071.856
,,,,,,,,-126.272.995.178,-205.276.570.967,-155.987.000.589,684.346.507.124
,,,,,,,,-126.073.995.173,-204.975.080.953,-155.820.333.922,684.091.022.342
,,,,,,,,-125.874.995.167,-204.496.116.159,-155.653.667.255,683.848.703.127
,,,,,,,,-125.675.995.162,-202.847.849.964,-155.487.000.589,683.621.534.275
,,,,,,,,-125.476.995.156,-20.156.084.667,-155.320.333.922,683.411.384.375
,,,,,,,,-125.277.995.151,-198.804.914.937,-155.153.667.255,683.219.990.738
,,,,,,,,-125.078.995.145,-189.166.844.205,-154.987.000.589,683.048.944.851
,,,,,,,,-12.487.999.514,-191.264.507.504,-154.820.333.922,682.899.678.558
,,,,,,,,-124.680.995.134,-192.454.323.138,-154.653.667.255,682.773.451.147
,,,,,,,,-124.481.995.129,-192.550.785.828,-154.487.000.589,682.671.337.579
,,,,,,,,-124.282.995.123,-2.046.291.405,-154.320.333.922,682.594.218.014
,,,,,,,,-124.083.995.118,-204.750.602.453,-154.153.667.255,682.542.768.857
,,,,,,,,-123.884.995.112,-205.108.550.005,-153.987.000.589,682.517.455.453
,,,,,,,,-123.685.995.107,-205.019.681.724,-153.820.333.922,682.518.526.613
,,,,,,,,-123.486.995.101,-204.982.427.824,-153.653.667.255,68.254.601.108
,,,,,,,,-123.287.995.096,-204.629.027.995,-153.487.000.589,682.599.716.037
,,,,,,,,-12.308.899.509,-204.991.744.044,-153.320.333.922,68.267.922.774
,,,,,,,,-122.889.995.085,-205.376.243.755,-153.153.667.255,682.783.914.307
,,,,,,,,-122.690.995.079,-205.909.888.957,-152.987.000.589,682.912.930.678
,,,,,,,,-122.491.995.074,-206.360.872.279,-152.820.333.922,683.065.225.718
,,,,,,,,-122.292.995.068,-208.682.340.562,-152.653.667.255,683.239.551.412
,,,,,,,,-122.093.995.062,-208.800.904.534,-152.487.000.589,68.343.447.405
,,,,,,,,-121.894.995.057,-214.944.857.046,-152.320.333.922,683.648.387.287
,,,,,,,,-121.695.995.051,-221.048.809.267,-152.153.667.255,683.879.526.919
,,,,,,,,-121.496.995.046,-221.034.388.407,-151.987.000.589,684.125.987.201
,,,,,,,,-12.129.799.504,-221.187.816.827,-151.820.333.922,684.385.738.489
,,,,,,,,-121.098.995.035,-221.077.216.459,-151.653.667.255,684.656.645.995
,,,,,,,,-120.899.995.029,-22.130.373.604,-151.487.000.589,684.936.489.401
,,,,,,,,-120.700.995.024,-223.908.156.374,-151.320.333.922,685.222.983.088
,,,,,,,,-120.501.995.018,-224.479.792.925,-151.153.667.255,685.513.796.713
,,,,,,,,-120.302.995.013,-224.377.593.706,-150.987.000.589,685.806.575.881
,,,,,,,,-120.103.995.007,-224.213.863.643,-150.820.333.922,68.609.896.265
,,,,,,,,-119.904.995.002,-224.177.431.726,-150.653.667.255,686.388.615.632
,,,,,,,,-119.705.994.996,-224.623.272.831,-150.487.000.589,686.673.229.445
,,,,,,,,-119.506.994.991,-224.950.362.279,-150.320.333.922,686.950.553.312
,,,,,,,,-119.307.994.985,-225.255.198.011,-150.153.667.255,687.218.408.613
,,,,,,,,-11.910.899.498,-225.877.602.728,-149.987.000.589,687.474.705.226
,,,,,,,,-118.909.994.974,-226.076.599.028,-149.820.333.922,687.717.456.513
,,,,,,,,-118.710.994.969,-225.576.707.725,-149.653.667.255,687.944.792.854
,,,,,,,,-118.511.994.963,-225.549.534.444,-149.487.000.589,688.154.973.647
,,,,,,,,-118.312.994.958,-224.273.724.552,-149.320.333.922,68.834.639.773
,,,,,,,,-118.113.994.952,-22.178.770.961,-149.153.667.255,688.517.612.204
,,,,,,,,-117.914.994.946,-221.741.416.925,-148.987.000.589,688.667.319.685
,,,,,,,,-117.715.994.941,-222.105.801.336,-148.820.333.922,688.794.384.012
,,,,,,,,-117.516.994.935,-222.115.883.739,-148.653.667.255,68.889.783.447
,,,,,,,,-11.731.799.493,-222.208.924.145,-148.487.000.589,688.976.868.631
,,,,,,,,-117.118.994.924,-222.219.879.843,-148.320.333.922,689.030.853.881
,,,,,,,,-116.919.994.919,-224.581.681.764,-148.153.667.255,689.059.327.768
,,,,,,,,-116.720.994.913,-224.606.416.716,-147.987.000.589,689.061.997.266
,,,,,,,,-116.521.994.908,-221.578.100.275,-147.820.333.922,68.903.873.708
,,,,,,,,-116.322.994.902,-22.129.111.047,-147.653.667.255,6.889.895.871
,,,,,,,,-116.123.994.897,-220.825.051.334,-147.487.000.589,688.914.749.119
,,,,,,,,-115.924.994.891,-221.311.120.431,-147.320.333.922,688.814.582.892
,,,,,,,,-115.725.994.886,-224.008.796.047,-147.153.667.255,688.689.601.644
,,,,,,,,-11.552.699.488,-223.926.370.335,-146.987.000.589,688.540.467.068
,,,,,,,,-115.327.994.875,-223.888.022.981,-146.820.333.922,688.367.983.875
,,,,,,,,-115.128.994.869,-223.897.686.435,-146.653.667.255,688.173.093.928
,,,,,,,,-114.929.994.864,-224.007.934.865,-146.487.000.589,687.956.869.959
,,,,,,,,-114.730.994.858,-224.309.953.001,-146.320.333.922,687.720.508.879
,,,,,,,,-114.531.994.853,-224.337.448.735,-146.153.667.255,687.465.324.654
,,,,,,,,-114.332.994.847,-224.245.835.473,-145.987.000.589,687.192.740.709
,,,,,,,,-114.133.994.842,-221.642.137.273,-145.820.333.922,686.904.281.831
,,,,,,,,-113.934.994.836,-22.029.260.166,-145.653.667.255,686.601.565.503
,,,,,,,,-113.735.994.831,-218.117.872.979,-145.487.000.589,686.286.292.646
,,,,,,,,-113.536.994.825,-217.604.689.108,-145.320.333.922,685.960.237.688
,,,,,,,,-113.337.994.819,-215.447.950.645,-145.153.667.255,685.625.237.956
,,,,,,,,-113.138.994.814,-206.730.967.606,-144.987.000.589,685.283.182.331
,,,,,,,,-112.939.994.808,-205.034.867.244,-144.820.333.922,684.935.999.176
,,,,,,,,-112.740.994.803,-213.524.559.542,-144.653.667.255,68.458.564.353
,,,,,,,,-112.541.994.797,-207.718.449.856,-144.487.000.589,684.234.083.606
,,,,,,,,-112.342.994.792,-204.616.230.189,-144.320.333.922,683.883.286.639
,,,,,,,,-112.143.994.786,-204.593.284.924,-144.153.667.255,683.535.204.171
,,,,,,,,-111.944.994.781,-204.442.459.631,-143.987.000.589,683.191.756.873
,,,,,,,,-111.745.994.775,-204.606.256.579,-143.820.333.922,68.285.481.904
,,,,,,,,-11.154.699.477,-204.291.752.978,-143.653.667.255,682.526.202.925
,,,,,,,,-111.347.994.764,-201.634.308.354,-143.487.000.589,682.207.643.081
,,,,,,,,-111.148.994.759,-200.881.410.356,-143.320.333.922,681.900.780.915
,,,,,,,,-110.949.994.753,-195.450.429.443,-143.153.667.255,681.607.149.679
,,,,,,,,-110.750.994.748,-185.141.988.347,-142.987.000.589,681.328.160.115
,,,,,,,,-110.551.994.742,-184.912.750.102,-142.820.333.922,681.065.086.997
,,,,,,,,-110.352.994.737,-185.677.299.405,-142.653.667.255,680.819.056.791
,,,,,,,,-110.153.994.731,-186.006.947.221,-142.487.000.589,680.591.036.668
,,,,,,,,-109.954.994.726,-186.382.854.273,-142.320.333.922,680.381.825.094
,,,,,,,,-10.975.599.472,-188.642.455.887,-142.153.667.255,680.192.044.163
,,,,,,,,-109.556.994.715,-190.168.794.425,-141.987.000.589,680.022.133.888
,,,,,,,,-109.357.994.709,-189.707.567.476,-141.820.333.922,679.872.348.558
,,,,,,,,-109.158.994.703,-187.072.186.591,-141.653.667.255,679.742.755.292
,,,,,,,,-108.959.994.698,-186.856.839.958,-141.487.000.589,679.633.234.862
,,,,,,,,-108.760.994.692,-186.752.526.434,-141.320.333.922,679.543.484.812
,,,,,,,,-108.561.994.687,-186.684.367.646,-141.153.667.255,679.473.024.879
,,,,,,,,-108.362.994.681,-186.687.104.943,-140.987.000.589,679.421.204.655
,,,,,,,,-108.163.994.676,-189.138.212.818,-140.820.333.922,679.387.213.409
,,,,,,,,-10.796.499.467,-192.617.521.141,-140.653.667.255,679.370.091.936
,,,,,,,,-107.765.994.665,-193.035.253.312,-140.487.000.589,679.368.746.261
,,,,,,,,-107.566.994.659,-200.924.407.597,-140.320.333.922,679.381.963.007
,,,,,,,,-107.367.994.654,-20.557.585.021,-140.153.667.255,679.408.426.179
,,,,,,,,-107.168.994.648,-205.618.470.835,-139.987.000.589,679.446.735.121
,,,,,,,,-106.969.994.643,-205.292.812.673,-139.820.333.922,679.495.423.362
,,,,,,,,-106.770.994.637,-205.071.436.431,-139.653.667.255,679.552.978.054
,,,,,,,,-106.571.994.632,-204.226.742.042,-139.487.000.589,679.617.859.721
,,,,,,,,-106.372.994.626,-20.187.259.639,-139.320.333.922,679.688.522
,,,,,,,,-106.173.994.621,-201.474.872.482,-139.153.667.255,679.763.431.086
,,,,,,,,-105.974.994.615,-195.077.332.527,-138.987.000.589,679.841.084.603
,,,,,,,,-10.577.599.461,-18.800.868.209,-138.820.333.922,679.920.029.615
,,,,,,,,-105.576.994.604,-186.220.693.926,-138.653.667.255,679.998.879.546
,,,,,,,,-105.377.994.599,-189.110.745.308,-138.487.000.589,680.076.329.768
,,,,,,,,-105.178.994.593,-189.770.009.149,-138.320.333.922,680.151.171.676
,,,,,,,,-104.979.994.587,-189.997.149.944,-138.153.667.255,680.222.305.069
,,,,,,,,-104.780.994.582,-189.975.339.984,-137.987.000.589,680.288.748.713
,,,,,,,,-104.581.994.576,-191.381.244.157,-137.820.333.922,68.034.964.899
,,,,,,,,-104.382.994.571,-192.061.451.456,-137.653.667.255,680.404.286.549
,,,,,,,,-104.183.994.565,-191.106.920.871,-137.487.000.589,680.452.080.944
,,,,,,,,-10.398.499.456,-204.119.187.534,-137.320.333.922,680.492.593.246
,,,,,,,,-103.785.994.554,-204.782.170.022,-137.153.667.255,680.525.526.657
,,,,,,,,-103.586.994.549,-198.558.240.054,-136.987.000.589,680.550.725.191
,,,,,,,,-103.387.994.543,-204.526.245.913,-136.820.333.922,68.056.817.048
,,,,,,,,-103.188.994.538,-205.000.992.924,-136.653.667.255,680.577.976.837
,,,,,,,,-102.989.994.532,-205.359.076.957,-136.487.000.589,680.580.384.659
,,,,,,,,-102.790.994.527,-205.247.879.438,-136.320.333.922,680.575.752.341
,,,,,,,,-102.591.994.521,-205.331.658.429,-136.153.667.255,680.564.546.816
,,,,,,,,-102.392.994.516,-205.422.308.878,-135.987.000.589,680.547.332.899
,,,,,,,,-10.219.399.451,-205.836.365.661,-135.820.333.922,680.524.761.585
,,,,,,,,-101.994.994.505,-205.919.942.862,-135.653.667.255,680.497.557.471
,,,,,,,,-101.795.994.499,-20.792.903.484,-135.487.000.589,680.466.505.458
,,,,,,,,-101.596.994.494,-209.115.825.552,-135.320.333.922,680.432.436.913
,,,,,,,,-101.397.994.488,-208.987.331.865,-135.153.667.255,680.396.215.441
,,,,,,,,-101.198.994.483,-22.220.685.228,-134.987.000.589,680.358.722.432
,,,,,,,,-100.999.994.477,-224.580.169.771,-134.820.333.922,680.320.842.526
,,,,,,,,-100.800.994.472,-224.578.386.594,-134.653.667.255,680.283.449.158
,,,,,,,,-100.601.994.466,-224.631.655.357,-134.487.000.589,68.024.739.031
,,,,,,,,-10.040.299.446,-224.810.013.213,-134.320.333.922,680.213.474.606
,,,,,,,,-100.203.994.455,-225.501.347.469,-134.153.667.255,680.182.457.884
,,,,,,,,-100.004.994.449,-227.820.452.633,-133.987.000.589,680.155.030.352
,,,,,,,,-998.059.944.439,-227.778.765.258,-133.820.333.922,680.131.804.445
,,,,,,,,-996.069.944.384,-231.354.581.815,-133.653.667.255,68.011.330.349
,,,,,,,,-994.079.944.328,-237.837.774.535,-133.487.000.589,680.099.951.262
,,,,,,,,-992.089.944.273,-232.091.599.256,-133.320.333.922,680.092.062.535
,,,,,,,,-990.099.944.218,-225.493.598.229,-133.153.667.255,680.089.834.696
,,,,,,,,-988.109.944.163,-227.718.627.837,-132.987.000.589,680.093.340.495
,,,,,,,,-986.119.944.108,-226.042.502.063,-132.820.333.922,680.102.522.004
,,,,,,,,-984.129.944.052,-230.999.406.371,-132.653.667.255,68.011.718.582
,,,,,,,,-982.139.943.997,-232.735.647.272,-132.487.000.589,680.136.999.588
,,,,,,,,-980.149.943.942,-225.522.353.083,-132.320.333.922,680.161.489.845
,,,,,,,,-978.159.943.887,-225.447.697.685,-132.153.667.255,680.190.041.248
,,,,,,,,-976.169.943.831,-224.081.784.164,-131.987.000.589,680.221.897.176
,,,,,,,,-974.179.943.776,-221.352.172.359,-131.820.333.922,680.256.161.739
,,,,,,,,-972.189.943.721,-218.816.665.013,-131.653.667.255,680.291.803.177
,,,,,,,,-970.199.943.666,-218.180.441.991,-131.487.000.589,680.327.658.652
,,,,,,,,-96.820.994.361,-214.080.941.889,-131.320.333.922,68.036.244.041
,,,,,,,,-966.219.943.555,-205.276.243.132,-131.153.667.255,680.394.743.291
,,,,,,,,-9.642.299.435,-205.319.544.483,-130.987.000.589,680.423.053.548
,,,,,,,,-962.239.943.445,-205.758.138.191,-130.820.333.922,680.445.758.945
,,,,,,,,-96.024.994.339,-206.050.114.631,-130.653.667.255,680.461.160.069
,,,,,,,,-958.259.943.334,-205.702.323.222,-130.487.000.589,680.467.482.814
,,,,,,,,-956.269.943.279,-205.836.106.269,-130.320.333.922,680.462.891.966
,,,,,,,,-954.279.943.224,-206.233.404.667,-130.153.667.255,68.044.550.583
,,,,,,,,-952.289.943.169,-206.058.594.569,-129.987.000.589,680.413.411.811
,,,,,,,,-950.299.943.113,-206.104.069.145,-129.820.333.922,680.364.682.873
,,,,,,,,-948.309.943.058,-206.396.959.714,-129.653.667.255,680.297.394.797
,,,,,,,,-946.319.943.003,-20.653.273.927,-129.487.000.589,680.209.644.123
,,,,,,,,-944.329.942.948,-208.335.862.647,-129.320.333.922,680.099.566.697
,,,,,,,,-942.339.942.892,-210.931.858.687,-129.153.667.255,679.965.356.691
,,,,,,,,-940.349.942.837,-215.049.437.227,-128.987.000.589,679.805.285.993
,,,,,,,,-938.359.942.782,-225.518.995.153,-128.820.333.922,679.617.723.833
,,,,,,,,-936.369.942.727,-227.122.172.437,-128.653.667.255,679.401.156.507
,,,,,,,,-934.379.942.672,-226.989.223.892,-128.487.000.589,679.154.207.051
,,,,,,,,-932.389.942.616,-236.445.878.463,-128.320.333.922,678.875.654.711
,,,,,,,,-930.399.942.561,-240.030.329,-128.153.667.255,67.856.445.403
,,,,,,,,-928.409.942.506,-237.782.181.311,-127.987.000.589,678.219.753.379
,,,,,,,,-926.419.942.451,-236.867.775.554,-127.820.333.922,677.840.912.737
,,,,,,,,-924.429.942.395,-233.832.832.823,-127.653.667.255,677.427.520.519
,,,,,,,,-92.243.994.234,-221.463.294.402,-127.487.000.589,676.979.409.245
,,,,,,,,-920.449.942.285,-220.010.788.814,-127.320.333.922,676.496.669.826
,,,,,,,,-91.845.994.223,-220.025.929.277,-127.153.667.255,675.979.664.256
,,,,,,,,-916.469.942.174,-220.596.755.267,-126.987.000.589,675.429.036.488
,,,,,,,,-914.479.942.119,-220.835.337.416,-126.820.333.922,674.845.721.257
,,,,,,,,-912.489.942.064,-220.934.090.758,-126.653.667.255,674.230.950.669
,,,,,,,,-910.499.942.009,-221.597.309.121,-126.487.000.589,673.586.258.313
,,,,,,,,-908.509.941.954,-222.258.421.622,-126.320.333.922,67.291.348.074
,,,,,,,,-906.519.941.898,-221.218.621.172,-126.153.667.255,67.221.475.612
,,,,,,,,-904.529.941.843,-221.429.204.322,-125.987.000.589,671.492.519.936
,,,,,,,,-902.539.941.788,-221.454.613.378,-125.820.333.922,670.749.497.601
,,,,,,,,-900.549.941.733,-221.677.560.289,-125.653.667.255,669.988.693.912
,,,,,,,,-898.559.941.677,-221.855.627.865,-125.487.000.589,669.213.379.296
,,,,,,,,-896.569.941.622,-222.058.707.847,-125.320.333.922,668.427.072.844
,,,,,,,,-894.579.941.567,-222.627.532.077,-125.153.667.255,667.633.522.176
,,,,,,,,-892.589.941.512,-22.563.552.728,-124.987.000.589,666.836.680.224
,,,,,,,,-890.599.941.456,-225.751.724.589,-124.820.333.922,666.040.679.068
,,,,,,,,-888.609.941.401,-22.586.257.057,-124.653.667.255,665.249.801.015
,,,,,,,,-886.619.941.346,-225.815.618.341,-124.487.000.589,66.446.844.715
,,,,,,,,-884.629.941.291,-225.421.247.976,-124.320.333.922,66.370.110.365
,,,,,,,,-882.639.941.236,-225.543.423.099,-124.153.667.255,662.952.306.179
,,,,,,,,-88.064.994.118,-225.649.325.282,-123.987.000.589,662.226.602.734
,,,,,,,,-878.659.941.125,-225.848.655.222,-123.820.333.922,661.528.515.349
,,,,,,,,-87.666.994.107,-225.338.572.054,-123.653.667.255,660.862.501.083
,,,,,,,,-874.679.941.015,-225.229.475.373,-123.487.000.589,660.232.912.756
,,,,,,,,-872.689.940.959,-225.137.183.009,-123.320.333.922,659.643.959.904
,,,,,,,,-870.699.940.904,-224.976.529.701,-123.153.667.255,65.909.967.043
,,,,,,,,-868.709.940.849,-224.507.456.789,-122.987.000.589,658.603.853.437
,,,,,,,,-866.719.940.794,-222.735.263.195,-122.820.333.922,658.160.063.721
,,,,,,,,-864.729.940.739,-220.585.823.258,-122.653.667.255,657.771.568.362
,,,,,,,,-862.739.940.683,-220.485.262.113,-122.487.000.589,65.744.131.587
,,,,,,,,-860.749.940.628,-219.878.471.406,-122.320.333.922,657.171.908.258
,,,,,,,,-858.759.940.573,-217.752.560.042,-122.153.667.255,65.696.557.642
,,,,,,,,-856.769.940.518,-217.488.449.441,-121.987.000.589,656.824.159.115
,,,,,,,,-854.779.940.462,-211.237.618.157,-121.820.333.922,65.674.908.582
,,,,,,,,-852.789.940.407,-205.131.705.544,-121.653.667.255,656.741.363.651
,,,,,,,,-850.799.940.352,-205.396.939.804,-121.487.000.589,656.801.568.504
,,,,,,,,-848.809.940.297,-204.939.717.707,-121.320.333.922,656.929.840.489
,,,,,,,,-846.819.940.241,-205.121.333.685,-121.153.667.255,657.125.883.682
,,,,,,,,-844.829.940.186,-204.966.536.271,-120.987.000.589,657.388.970.153
,,,,,,,,-842.839.940.131,-204.931.468.813,-120.820.333.922,657.717.948.166
,,,,,,,,-840.849.940.076,-204.964.841.922,-120.653.667.255,658.111.254.394
,,,,,,,,-838.859.940.021,-204.919.849.544,-120.487.000.589,658.566.929.941
,,,,,,,,-836.869.939.965,-205.496.457.393,-120.320.333.922,659.082.639.905
,,,,,,,,-83.487.993.991,-20.569.542.212,-120.153.667.255,65.965.569.619
,,,,,,,,-832.889.939.855,-20.559.217.234,-119.987.000.589,660.283.083.222
,,,,,,,,-8.308.999.398,-205.670.597.686,-119.820.333.922,660.961.486.221
,,,,,,,,-828.909.939.744,-205.698.826.257,-119.653.667.255,661.687.321.615
,,,,,,,,-826.919.939.689,-205.918.599.593,-119.487.000.589,662.456.769.233
,,,,,,,,-824.929.939.634,-206.021.780.201,-119.320.333.922,663.265.805.835
,,,,,,,,-822.939.939.579,-206.178.488.432,-119.153.667.255,664.110.239.601
,,,,,,,,-820.949.939.523,-205.991.714.962,-118.987.000.589,664.985.745.163
,,,,,,,,-818.959.939.468,-206.408.052.836,-118.820.333.922,665.887.898.791
,,,,,,,,-816.969.939.413,-208.654.424.248,-118.653.667.255,666.812.213.382
,,,,,,,,-814.979.939.358,-210.608.887.802,-118.487.000.589,667.754.172.879
,,,,,,,,-812.989.939.303,-218.139.238.275,-118.320.333.922,668.709.265.819
,,,,,,,,-810.999.939.247,-224.630.484.318,-118.153.667.255,669.673.017.701
,,,,,,,,-809.009.939.192,-224.630.049.553,-117.987.000.589,670.641.021.924
,,,,,,,,-807.019.939.137,-225.081.808.167,-117.820.333.922,671.608.969.057
,,,,,,,,-805.029.939.082,-225.071.979.885,-117.653.667.255,672.572.674.242
,,,,,,,,-803.039.939.026,-225.408.710.604,-117.487.000.589,673.528.102.562
,,,,,,,,-801.049.938.971,-225.406.021.508,-117.320.333.922,674.471.392.254
,,,,,,,,-799.059.938.916,-225.627.336.465,-117.153.667.255,675.398.875.629
,,,,,,,,-797.069.938.861,-225.301.398.349,-116.987.000.589,676.307.097.661
,,,,,,,,-795.079.938.805,-225.679.251.723,-116.820.333.922,67.719.283.216
,,,,,,,,-79.308.993.875,-226.046.738.099,-116.653.667.255,678.053.095.519
,,,,,,,,-791.099.938.695,-226.272.196.688,-116.487.000.589,678.885.158.031
,,,,,,,,-78.910.993.864,-226.578.114.451,-116.320.333.922,679.686.552.777
,,,,,,,,-787.119.938.585,-228.867.595.272,-116.153.667.255,680.455.082.131
