time-(ms)-h-i,firing-modulation-(Hz-green-trace)-h-i
-271.153.667.255,225.915.433.419
-270.987.000.589,228.479.020.641
-270.820.333.922,2.308.937.101
-270.653.667.255,233.162.900.963
-270.487.000.589,235.290.544.794
-270.320.333.922,237.281.087.082
-270.153.667.255,239.139.407.714
-269.987.000.589,240.870.761.118
-269.820.333.922,242.480.716.748
-269.653.667.255,243.975.100.526
-269.487.000.589,245.359.937.792
-269.320.333.922,246.641.398.249
-269.153.667.255,24.782.574.331
-268.987.000.589,248.919.276.209
-268.820.333.922,249.928.295.134
-268.653.667.255,250.859.049.618
-268.487.000.589,251.717.700.325
-268.320.333.922,252.510.282.343
-268.153.667.255,253.242.672.019
-267.987.000.589,253.920.557.366
-267.820.333.922,254.549.411.979
-267.653.667.255,255.134.472.433
-267.487.000.589,255.680.719.044
-267.320.333.922,256.192.859.922
-267.153.667.255,256.675.318.166
-266.987.000.589,257.132.222.101
-266.820.333.922,257.567.398.412
-266.653.667.255,257.984.368.046
-266.487.000.589,25.838.634.475
-266.320.333.922,258.776.236.123
-266.153.667.255,259.156.647.046
-265.987.000.589,259.529.885.386
-265.820.333.922,259.897.969.841
-265.653.667.255,260.262.639.834
-265.487.000.589,26.062.536.733
-265.320.333.922,260.987.370.482
-265.153.667.255,261.349.629
-264.987.000.589,261.712.901.135
-264.820.333.922,262.077.742.174
-264.653.667.255,262.444.524.338
-264.487.000.589,262.813.457.975
-264.320.333.922,263.184.613.939
-264.153.667.255,263.557.947.022
-263.987.000.589,263.933.320.346
-263.820.333.922,26.431.053.057
-263.653.667.255,264.689.333.799
-263.487.000.589,265.069.472.064
-263.320.333.922,26.545.070.026
-263.153.667.255,265.832.813.385
-262.987.000.589,266.215.673.988
-262.820.333.922,266.599.239.673
-262.653.667.255,266.983.590.547
-262.487.000.589,26.736.895.648
-262.320.333.922,267.755.744.057
-262.153.667.255,268.144.563.097
-261.987.000.589,268.536.252.605
-261.820.333.922,268.931.906.038
-261.653.667.255,269.332.895.741
-261.487.000.589,269.740.896.412
-261.320.333.922,270.157.907.446
-261.153.667.255,270.586.273.995
-260.987.000.589,271.028.706.555
-260.820.333.922,271.488.298.898
-260.653.667.255,271.968.544.123
-260.487.000.589,27.247.334.859
-260.320.333.922,273.007.043.493
-260.153.667.255,273.574.393.773
-259.987.000.589,274.180.604.096
-259.820.333.922,274.831.321.554
-259.653.667.255,275.532.634.778
-259.487.000.589,276.291.069.104
-259.320.333.922,277.113.577.451
-259.153.667.255,278.007.526.561
-258.987.000.589,278.980.678.261
-258.820.333.922,280.041.165.431
-258.653.667.255,281.197.462.382
-258.487.000.589,282.458.349.404
-258.320.333.922,283.832.871.276
-258.153.667.255,285.330.289.605
-257.987.000.589,286.960.028.943
-257.820.333.922,288.731.616.693
-257.653.667.255,290.654.616.946
-257.487.000.589,292.738.558.467
-257.320.333.922,29.499.285.718
-257.153.667.255,297.426.733.615
-256.987.000.589,300.049.125.914
-256.820.333.922,302.868.599.101
-256.653.667.255,305.893.251.455
-256.487.000.589,309.130.618.949
-256.320.333.922,312.587.578.817
-256.153.667.255,316.270.253.406
-255.987.000.589,320.183.915.583
-255.820.333.922,324.332.896.994
-255.653.667.255,32.872.050.055
-255.487.000.589,333.348.918.532
-255.320.333.922,338.219.157.693
-255.153.667.255,343.330.972.729
-254.987.000.589,348.682.809.421
-254.820.333.922,354.271.758.674
-254.653.667.255,360.093.522.577
-254.487.000.589,366.142.393.444
-254.320.333.922,372.411.246.682
