time-(ms)-h-i,firing-modulation-(Hz-green-trace)-h-i
-166.820.333.922,665.384.817.448
-166.653.667.255,665.902.104.664
-166.487.000.589,666.446.717.562
-166.320.333.922,667.017.850.979
-166.153.667.255,667.614.501.379
-165.987.000.589,668.235.468.468
-165.820.333.922,668.879.358.924
-165.653.667.255,669.544.592.257
-165.487.000.589,670.229.408.768
-165.320.333.922,670.931.879.568
-165.153.667.255,671.649.918.553
-164.987.000.589,672.381.296.226
-164.820.333.922,6.731.236.552
-164.653.667.255,673.874.527.203
-164.487.000.589,674.631.351.371
-164.320.333.922,675.391.493.599
-164.153.667.255,676.152.266.686
-163.987.000.589,676.910.951.026
-163.820.333.922,677.664.815.555
-163.653.667.255,678.411.138.695
-163.487.000.589,679.147.229.006
-163.320.333.922,679.870.445.313
-163.153.667.255,680.578.216.039
-162.987.000.589,68.126.805.753
-162.820.333.922,681.937.591.183
-162.653.667.255,682.584.559.189
-162.487.000.589,683.206.838.766
-162.320.333.922,683.802.454.776
-162.153.667.255,684.369.590.647
-161.987.000.589,684.906.597.574
-161.820.333.922,685.412.001.989
-161.653.667.255,685.884.511.331
-161.487.000.589,686.323.018.182
-161.320.333.922,686.726.602.828
-161.153.667.255,687.094.534.384
-160.987.000.589,687.426.270.573
-160.820.333.922,687.721.456.314
-160.653.667.255,687.979.921.251
-160.487.000.589,688.201.676.367
-160.320.333.922,688.386.909.832
-160.153.667.255,688.535.982.214
-159.987.000.589,688.649.421.181
-159.820.333.922,688.727.915.806
-159.653.667.255,688.772.310.569
-159.487.000.589,688.783.599.136
-159.320.333.922,688.762.917.963
-159.153.667.255,688.711.539.777
-158.987.000.589,688.630.866.928
-158.820.333.922,688.522.424.635
-158.653.667.255,688.387.854.079
-158.487.000.589,688.228.905.322
-158.320.333.922,68.804.743
-158.153.667.255,687.845.373.727
-157.987.000.589,687.624.768.144
-157.820.333.922,687.387.722.541
-157.653.667.255,687.136.415.004
-157.487.000.589,686.873.082.983
-157.320.333.922,686.600.013.276
-157.153.667.255,686.319.531.339
-156.987.000.589,686.033.989.924
-156.820.333.922,685.745.757.024
-156.653.667.255,685.457.203.119
-156.487.000.589,685.170.687.778
-156.320.333.922,684.888.545.637
-156.153.667.255,684.613.071.856
-155.987.000.589,684.346.507.124
-155.820.333.922,684.091.022.342
-155.653.667.255,683.848.703.127
-155.487.000.589,683.621.534.275
-155.320.333.922,683.411.384.375
-155.153.667.255,683.219.990.738
-154.987.000.589,683.048.944.851
-154.820.333.922,682.899.678.558
-154.653.667.255,682.773.451.147
-154.487.000.589,682.671.337.579
-154.320.333.922,682.594.218.014
-154.153.667.255,682.542.768.857
-153.987.000.589,682.517.455.453
-153.820.333.922,682.518.526.613
-153.653.667.255,68.254.601.108
-153.487.000.589,682.599.716.037
-153.320.333.922,68.267.922.774
-153.153.667.255,682.783.914.307
-152.987.000.589,682.912.930.678
-152.820.333.922,683.065.225.718
-152.653.667.255,683.239.551.412
-152.487.000.589,68.343.447.405
-152.320.333.922,683.648.387.287
-152.153.667.255,683.879.526.919
-151.987.000.589,684.125.987.201
-151.820.333.922,684.385.738.489
-151.653.667.255,684.656.645.995
-151.487.000.589,684.936.489.401
-151.320.333.922,685.222.983.088
-151.153.667.255,685.513.796.713
-150.987.000.589,685.806.575.881
-150.820.333.922,68.609.896.265
-150.653.667.255,686.388.615.632
-150.487.000.589,686.673.229.445
-150.320.333.922,686.950.553.312
-150.153.667.255,687.218.408.613
-149.987.000.589,687.474.705.226
-149.820.333.922,687.717.456.513
-149.653.667.255,687.944.792.854
-149.487.000.589,688.154.973.647
-149.320.333.922,68.834.639.773
-149.153.667.255,688.517.612.204
-148.987.000.589,688.667.319.685
-148.820.333.922,688.794.384.012
-148.653.667.255,68.889.783.447
-148.487.000.589,688.976.868.631
-148.320.333.922,689.030.853.881
-148.153.667.255,689.059.327.768
-147.987.000.589,689.061.997.266
-147.820.333.922,68.903.873.708
-147.653.667.255,6.889.895.871
-147.487.000.589,688.914.749.119
-147.320.333.922,688.814.582.892
-147.153.667.255,688.689.601.644
-146.987.000.589,688.540.467.068
-146.820.333.922,688.367.983.875
-146.653.667.255,688.173.093.928
-146.487.000.589,687.956.869.959
-146.320.333.922,687.720.508.879
-146.153.667.255,687.465.324.654
-145.987.000.589,687.192.740.709
-145.820.333.922,686.904.281.831
-145.653.667.255,686.601.565.503
-145.487.000.589,686.286.292.646
-145.320.333.922,685.960.237.688
-145.153.667.255,685.625.237.956
-144.987.000.589,685.283.182.331
-144.820.333.922,684.935.999.176
-144.653.667.255,68.458.564.353
-144.487.000.589,684.234.083.606
-144.320.333.922,683.883.286.639
-144.153.667.255,683.535.204.171
-143.987.000.589,683.191.756.873
-143.820.333.922,68.285.481.904
-143.653.667.255,682.526.202.925
-143.487.000.589,682.207.643.081
-143.320.333.922,681.900.780.915
-143.153.667.255,681.607.149.679
-142.987.000.589,681.328.160.115
-142.820.333.922,681.065.086.997
-142.653.667.255,680.819.056.791
-142.487.000.589,680.591.036.668
-142.320.333.922,680.381.825.094
-142.153.667.255,680.192.044.163
-141.987.000.589,680.022.133.888
-141.820.333.922,679.872.348.558
-141.653.667.255,679.742.755.292
-141.487.000.589,679.633.234.862
-141.320.333.922,679.543.484.812
-141.153.667.255,679.473.024.879
-140.987.000.589,679.421.204.655
-140.820.333.922,679.387.213.409
-140.653.667.255,679.370.091.936
-140.487.000.589,679.368.746.261
-140.320.333.922,679.381.963.007
-140.153.667.255,679.408.426.179
-139.987.000.589,679.446.735.121
-139.820.333.922,679.495.423.362
-139.653.667.255,679.552.978.054
-139.487.000.589,679.617.859.721
-139.320.333.922,679.688.522
-139.153.667.255,679.763.431.086
-138.987.000.589,679.841.084.603
-138.820.333.922,679.920.029.615
-138.653.667.255,679.998.879.546
-138.487.000.589,680.076.329.768
-138.320.333.922,680.151.171.676
-138.153.667.255,680.222.305.069
-137.987.000.589,680.288.748.713
-137.820.333.922,68.034.964.899
-137.653.667.255,680.404.286.549
-137.487.000.589,680.452.080.944
-137.320.333.922,680.492.593.246
-137.153.667.255,680.525.526.657
-136.987.000.589,680.550.725.191
-136.820.333.922,68.056.817.048
-136.653.667.255,680.577.976.837
-136.487.000.589,680.580.384.659
-136.320.333.922,680.575.752.341
-136.153.667.255,680.564.546.816
-135.987.000.589,680.547.332.899
-135.820.333.922,680.524.761.585
-135.653.667.255,680.497.557.471
-135.487.000.589,680.466.505.458
-135.320.333.922,680.432.436.913
-135.153.667.255,680.396.215.441
-134.987.000.589,680.358.722.432
-134.820.333.922,680.320.842.526
-134.653.667.255,680.283.449.158
-134.487.000.589,68.024.739.031
-134.320.333.922,680.213.474.606
-134.153.667.255,680.182.457.884
-133.987.000.589,680.155.030.352
-133.820.333.922,680.131.804.445
-133.653.667.255,68.011.330.349
-133.487.000.589,680.099.951.262
-133.320.333.922,680.092.062.535
-133.153.667.255,680.089.834.696
-132.987.000.589,680.093.340.495
-132.820.333.922,680.102.522.004
-132.653.667.255,68.011.718.582
-132.487.000.589,680.136.999.588
-132.320.333.922,680.161.489.845
-132.153.667.255,680.190.041.248
-131.987.000.589,680.221.897.176
-131.820.333.922,680.256.161.739
-131.653.667.255,680.291.803.177
-131.487.000.589,680.327.658.652
-131.320.333.922,68.036.244.041
-131.153.667.255,680.394.743.291
-130.987.000.589,680.423.053.548
-130.820.333.922,680.445.758.945
-130.653.667.255,680.461.160.069
-130.487.000.589,680.467.482.814
-130.320.333.922,680.462.891.966
-130.153.667.255,68.044.550.583
-129.987.000.589,680.413.411.811
-129.820.333.922,680.364.682.873
-129.653.667.255,680.297.394.797
-129.487.000.589,680.209.644.123
-129.320.333.922,680.099.566.697
-129.153.667.255,679.965.356.691
-128.987.000.589,679.805.285.993
-128.820.333.922,679.617.723.833
-128.653.667.255,679.401.156.507
-128.487.000.589,679.154.207.051
-128.320.333.922,678.875.654.711
-128.153.667.255,67.856.445.403
-127.987.000.589,678.219.753.379
-127.820.333.922,677.840.912.737
-127.653.667.255,677.427.520.519
-127.487.000.589,676.979.409.245
-127.320.333.922,676.496.669.826
-127.153.667.255,675.979.664.256
-126.987.000.589,675.429.036.488
-126.820.333.922,674.845.721.257
-126.653.667.255,674.230.950.669
-126.487.000.589,673.586.258.313
-126.320.333.922,67.291.348.074
-126.153.667.255,67.221.475.612
-125.987.000.589,671.492.519.936
-125.820.333.922,670.749.497.601
-125.653.667.255,669.988.693.912
-125.487.000.589,669.213.379.296
-125.320.333.922,668.427.072.844
-125.153.667.255,667.633.522.176
-124.987.000.589,666.836.680.224
-124.820.333.922,666.040.679.068
-124.653.667.255,665.249.801.015
-124.487.000.589,66.446.844.715
-124.320.333.922,66.370.110.365
-124.153.667.255,662.952.306.179
-123.987.000.589,662.226.602.734
-123.820.333.922,661.528.515.349
-123.653.667.255,660.862.501.083
-123.487.000.589,660.232.912.756
-123.320.333.922,659.643.959.904
-123.153.667.255,65.909.967.043
-122.987.000.589,658.603.853.437
-122.820.333.922,658.160.063.721
-122.653.667.255,657.771.568.362
-122.487.000.589,65.744.131.587
-122.320.333.922,657.171.908.258
-122.153.667.255,65.696.557.642
-121.987.000.589,656.824.159.115
-121.820.333.922,65.674.908.582
-121.653.667.255,656.741.363.651
-121.487.000.589,656.801.568.504
-121.320.333.922,656.929.840.489
-121.153.667.255,657.125.883.682
-120.987.000.589,657.388.970.153
-120.820.333.922,657.717.948.166
-120.653.667.255,658.111.254.394
-120.487.000.589,658.566.929.941
-120.320.333.922,659.082.639.905
-120.153.667.255,65.965.569.619
-119.987.000.589,660.283.083.222
-119.820.333.922,660.961.486.221
-119.653.667.255,661.687.321.615
-119.487.000.589,662.456.769.233
-119.320.333.922,663.265.805.835
-119.153.667.255,664.110.239.601
-118.987.000.589,664.985.745.163
-118.820.333.922,665.887.898.791
-118.653.667.255,666.812.213.382
-118.487.000.589,667.754.172.879
-118.320.333.922,668.709.265.819
-118.153.667.255,669.673.017.701
-117.987.000.589,670.641.021.924
-117.820.333.922,671.608.969.057
-117.653.667.255,672.572.674.242
-117.487.000.589,673.528.102.562
-117.320.333.922,674.471.392.254
-117.153.667.255,675.398.875.629
-116.987.000.589,676.307.097.661
-116.820.333.922,67.719.283.216
-116.653.667.255,678.053.095.519
-116.487.000.589,678.885.158.031
-116.320.333.922,679.686.552.777
-116.153.667.255,680.455.082.131
-115.987.000.589,68.118.882.192
-115.820.333.922,681.886.123.306
-115.653.667.255,682.545.612.462
-115.487.000.589,683.166.188.134
-115.320.333.922,683.747.017.172
-115.153.667.255,68.428.752.816
-114.987.000.589,684.787.403.237
-114.820.333.922,68.524.656.826
-114.653.667.255,685.665.181.427
-114.487.000.589,686.043.620.514
-114.320.333.922,686.382.468.877
-114.153.667.255,686.682.500.387
-113.987.000.589,686.944.663.454
-113.820.333.922,687.170.064.336
-113.653.667.255,687.359.949.895
-113.487.000.589,687.515.690.008
-113.320.333.922,687.638.759.799
-113.153.667.255,687.730.721.898
-112.987.000.589,687.793.208.909
-112.820.333.922,687.827.906.266
-112.653.667.255,687.836.535.661
-112.487.000.589,687.820.839.195
-112.320.333.922,687.782.564.426
-112.153.667.255,687.723.450.422
-111.987.000.589,687.645.214.971
-111.820.333.922,687.549.543.016
-111.653.667.255,687.438.076.407
-111.487.000.589,687.312.405.026
-111.320.333.922,687.174.059.289
-111.153.667.255,687.024.504.056
-110.987.000.589,686.865.133.901
-110.820.333.922,686.697.269.704
-110.653.667.255,686.522.156.496
-110.487.000.589,68.634.096.245
-110.320.333.922,686.154.778.923
-110.153.667.255,685.964.621.406
-109.987.000.589,68.577.143.125
-109.820.333.922,685.576.078.017
-109.653.667.255,685.379.362.299
-109.487.000.589,685.182.018.849
-109.320.333.922,684.984.719.878
-109.153.667.255,684.788.078.371
-108.987.000.589,684.592.651.278
-108.820.333.922,684.398.942.479
-108.653.667.256,684.207.405.408
-108.487.000.589,684.018.445.252
-108.320.333.922,683.832.420.672
-108.153.667.256,683.649.645.007
-107.987.000.589,683.470.386.942
-107.820.333.922,683.294.870.647
-107.653.667.256,68.312.327.543
-107.487.000.589,682.955.734.948
-107.320.333.922,682.792.336.055
-107.153.667.256,682.633.117.371
-106.987.000.589,682.478.067.686
-106.820.333.922,682.327.124.311
-106.653.667.256,682.180.171.507
-106.487.000.589,682.037.039.111
-106.320.333.922,681.897.501.506
-106.153.667.256,681.761.277.051
-105.987.000.589,681.628.028.096
-105.820.333.922,681.497.361.706
-105.653.667.256,681.368.831.181
-105.487.000.589,681.241.938.465
-105.320.333.922,681.116.137.511
-105.153.667.256,68.099.083.866
-104.987.000.589,680.865.414.043
-104.820.333.922,68.073.920.403
-104.653.667.256,6.806.115.247
-104.487.000.589,680.481.676.302
-104.320.333.922,680.348.952.625
-104.153.667.256,680.212.651.218
-103.987.000.589,680.072.084.332
-103.820.333.922,679.926.590.474
-103.653.667.256,67.977.554.642
-103.487.000.589,679.618.379.528
-103.320.333.922,679.454.580.188
-103.153.667.256,679.283.714.207
-102.987.000.589,679.105.434.949
-102.820.333.922,678.919.495.027
-102.653.667.256,678.725.757.339
-102.487.000.589,67.852.420.526
-102.320.333.922,678.314.951.777
-102.153.667.256,678.098.247.387
-101.987.000.589,677.874.486.569
-101.820.333.922,677.644.212.673
-101.653.667.256,677.408.121.064
-101.487.000.589,677.167.060.391
-101.320.333.922,676.922.031.887
-101.153.667.256,676.674.186.588
-100.987.000.589,676.424.820.437
-100.820.333.922,676.175.367.236
-100.653.667.256,675.927.389.445
-100.487.000.589,675.682.566.869
-100.320.333.922,675.442.683.287
-100.153.667.256,675.209.611.143
-999.870.005.888,6.749.852.944
-998.203.339.222,67.477.172.975
-996.536.672.555,674.570.946.346
-994.870.005.888,67.438.498.429
-993.203.339.222,674.215.872.114
-991.536.672.555,674.065.603.519
-989.870.005.888,673.936.113.659
-988.203.339.222,673.829.255.266
-986.536.672.555,673.746.774.918
-984.870.005.888,673.690.289.771
-983.203.339.222,673.661.265.061
-981.536.672.555,673.660.992.689
-979.870.005.888,673.690.571.184
-978.203.339.222,673.750.887.333
-976.536.672.555,673.842.599.753
-974.870.005.888,673.966.124.631
-973.203.339.222,674.121.623.878
-971.536.672.555,674.308.995.873
-969.870.005.888,674.527.868.957
-968.203.339.222,674.777.597.811
-966.536.672.555,675.057.262.809
-964.870.005.888,675.365.672.396
-963.203.339.222,675.701.368.505
-961.536.672.555,676.062.635.018
-959.870.005.888,676.447.509.186
-958.203.339.222,676.853.795.942
-956.536.672.555,677.279.084.976
-954.870.005.888,677.720.770.414
-953.203.339.222,678.176.072.933
-951.536.672.555,678.642.064.075
-949.870.005.888,679.115.692.553
-948.203.339.222,679.593.812.264
-946.536.672.555,680.073.211.752
-944.870.005.888,680.550.644.809
-943.203.339.222,681.022.861.915
-941.536.672.555,681.486.642.188
-939.870.005.888,681.938.825.515
-938.203.339.222,682.376.344.525
-936.536.672.555,682.796.256.062
-934.870.005.888,683.195.771.815
-933.203.339.222,683.572.287.763
-931.536.672.555,68.392.341.209
-929.870.005.888,684.246.991.265
-928.203.339.222,684.541.133.929
-926.536.672.555,684.804.232.329
-924.870.005.888,685.034.980.976
-923.203.339.222,685.232.392.289
-921.536.672.555,685.395.808.978
-919.870.005.888,685.524.912.953
-918.203.339.222,685.619.730.603
-916.536.672.555,685.680.634.287
-914.870.005.888,685.708.339.964
-913.203.339.222,685.703.900.907
-911.536.672.555,685.668.697.492
-909.870.005.888,685.604.423.133
-908.203.339.222,685.513.066.444
-906.536.672.555,685.396.889.811
-904.870.005.888,685.258.404.558
-903.203.339.222,685.100.342.999
-901.536.672.555,684.925.627.668
-899.870.005.888,684.737.338.111
-898.203.339.222,684.538.675.633
-896.536.672.555,684.332.926.457
-894.870.005.888,684.123.423.769
-893.203.339.222,68.391.350.916
-891.536.672.555,683.706.493.982
-889.870.005.888,683.505.621.148
-888.203.339.222,683.314.027.921
-886.536.672.555,683.134.710.192
-884.870.005.888,682.970.488.763
-883.203.339.222,682.823.978.101
-881.536.672.555,682.697.557.995
-879.870.005.888,682.593.348.509
-878.203.339.222,682.513.188.548
-876.536.672.555,682.458.618.321
-874.870.005.888,682.430.865.903
-873.203.339.222,682.430.838.013
-871.536.672.555,682.459.115.091
-869.870.005.888,682.515.950.631
-868.203.339.222,682.601.274.716
-866.536.672.555,682.714.701.557
-864.870.005.888,682.855.540.841
-863.203.339.222,683.022.812.589
-861.536.672.555,683.215.265.179
-859.870.005.888,683.431.396.144
-858.203.339.222,683.669.475.343
-856.536.672.555,683.927.570.013
-854.870.005.888,684.203.571.271
-853.203.339.222,684.495.221.568
-851.536.672.555,684.800.142.634
-849.870.005.888,685.115.863.449
-848.203.339.222,685.439.847.817
-846.536.672.555,685.769.521.144
-844.870.005.888,686.102.296.051
-843.203.339.222,686.435.596.521
-841.536.672.555,686.766.880.327
-839.870.005.888,687.093.659.521
-838.203.339.222,687.413.518.862
-836.536.672.555,687.724.132.078
-834.870.005.888,688.023.275.948
-833.203.339.222,688.308.842.227
-831.536.672.555,688.578.847.486
-829.870.005.888,688.831.440.989
-828.203.339.222,689.064.910.777
-826.536.672.555,689.277.688.129
-824.870.005.888,68.946.835.063
-823.203.339.222,689.635.624.066
-821.536.672.555,689.778.383.366
-819.870.005.888,689.895.652.838
-818.203.339.222,689.986.605.895
-816.536.672.555,690.050.564.483
-814.870.005.888,690.086.998.364
-813.203.339.222,690.095.524.413
-811.536.672.555,690.075.906.014
-809.870.005.888,690.028.052.625
-808.203.339.222,689.952.019.542
-806.536.672.555,689.848.007.831
-804.870.005.888,689.716.364.389
-803.203.339.222,68.955.758.202
-801.536.672.555,689.372.299.425
-799.870.005.888,68.916.130.093
-798.203.339.222,688.925.515.803
-796.536.672.555,688.666.016.951
-794.870.005.888,688.384.018.823
-793.203.339.222,68.808.087.432
-791.536.672.555,687.758.070.535
-789.870.005.888,687.417.223.156
-788.203.339.222,687.060.069.406
-786.536.672.555,686.688.459.404
-784.870.005.888,686.304.345.884
-783.203.339.222,685.909.772.258
-781.536.672.555,685.506.859.018
-779.870.005.888,685.097.788.576
-778.203.339.222,684.684.788.639
-776.536.672.555,684.270.114.287
-774.870.005.888,683.856.028.964
-773.203.339.222,683.444.784.633
-771.536.672.555,683.038.601.372
-769.870.005.888,682.639.646.734
-768.203.339.222,682.250.015.195
-766.536.672.555,681.871.708.047
-764.870.005.888,681.506.614.086
-763.203.339.222,681.156.491.446
-761.536.672.555,680.822.950.902
-759.870.005.888,680.507.440.985
-758.203.339.222,680.211.235.157
-756.536.672.555,679.935.421.319
-754.870.005.888,679.680.893.842
-753.203.339.222,679.448.348.272
-751.536.672.555,679.238.278.817
-749.870.005.888,679.050.978.641
-748.203.339.222,678.886.542.964
-746.536.672.555,678.744.874.883
-744.870.005.888,678.625.693.783
-743.203.339.222,67.852.854.616
-741.536.672.555,678.452.818.606
-739.870.005.888,678.397.752.698
-738.203.339.222,678.362.461.457
-736.536.672.555,678.345.947.043
-734.870.005.888,678.347.119.315
-733.203.339.222,678.364.814.876
-731.536.672.555,678.397.816.221
-729.870.005.888,678.444.870.602
-728.203.339.222,67.850.470.825
-726.536.672.555,678.576.059.611
-724.870.005.888,678.657.671.263
-723.203.339.222,67.874.832.025
-721.536.672.555,678.846.826.585
-719.870.005.888,678.952.063.727
-718.203.339.222,679.062.966.888
-716.536.672.555,67.917.853.908
-714.870.005.888,679.297.854.859
-713.203.339.222,679.420.061.785
-711.536.672.555,679.544.379.659
-709.870.005.888,679.670.097.655
-708.203.339.222,679.796.569.516
-706.536.672.555,679.923.207.006
-704.870.005.888,68.004.947.187
-703.203.339.222,680.174.866.569
-701.536.672.555,680.298.924.082
-699.870.005.888,680.421.197.104
-698.203.339.222,680.541.246.934
-696.536.672.555,680.658.632.409
-694.870.005.888,680.772.899.184
-693.203.339.222,680.883.569.669
-691.536.672.555,680.990.133.923
-689.870.005.888,681.092.041.754
-688.203.339.222,681.188.696.266
-686.536.672.555,681.279.449.056
-684.870.005.888,681.363.597.209
-683.203.339.222,681.440.382.208
-681.536.672.555,681.508.990.846
-679.870.005.888,681.568.558.137
-678.203.339.222,68.161.817.223
-676.536.672.555,681.656.881.249
-674.870.005.888,681.683.701.942
-673.203.339.222,681.697.630.016
-671.536.672.555,681.697.651.934
-669.870.005.888,681.682.757.993
-668.203.339.222,681.651.956.412
-666.536.672.555,681.604.288.176
-664.870.005.888,681.538.842.354
-663.203.339.222,681.454.771.598
-661.536.672.555,681.351.307.532
-659.870.005.888,681.227.775.741
-658.203.339.222,681.083.610.088
-656.536.672.555,680.918.366.079
-654.870.005.888,680.731.733.063
-653.203.339.222,68.052.354.501
-651.536.672.555,680.293.789.724
-649.870.005.888,680.042.616.292
-648.203.339.222,679.770.340.683
-646.536.672.555,679.477.449.387
-644.870.005.888,679.164.601.054
-643.203.339.222,678.832.626.116
-641.536.672.555,678.482.524.414
-639.870.005.888,678.115.460.871
-638.203.339.222,677.732.759.305
-636.536.672.555,677.335.894.472
-634.870.005.888,67.692.648.248
-633.203.339.222,676.506.269.714
-631.536.672.555,676.077.120.426
-629.870.005.888,675.641.003.178
-628.203.339.222,675.199.976.291
-626.536.672.555,674.756.172.499
-624.870.005.888,674.311.782.965
-623.203.339.222,673.869.040.862
-621.536.672.555,673.430.204.647
-619.870.005.888,672.997.541.227
-618.203.339.222,672.573.309.131
-616.536.672.555,672.159.741.862
-614.870.005.888,67.175.903.152
-613.203.339.222,671.373.312.849
-611.536.672.555,671.004.647.789
-609.870.005.888,670.655.010.654
-608.203.339.222,670.326.274.005
-606.536.672.555,670.020.195.325
-604.870.005.888,669.738.404.557
-603.203.339.222,669.482.392.584
-601.536.672.555,66.925.350.073
-599.870.005.888,669.052.911.336
-598.203.339.222,668.881.639.481
-596.536.672.555,668.740.525.921
-594.870.005.888,668.630.231.283
-593.203.339.222,66.855.123.159
-591.536.672.555,668.503.815.158
-589.870.005.888,66.848.808.091
-588.203.339.222,668.503.938.153
-586.536.672.555,668.551.107.835
-584.870.005.888,668.629.125.312
-583.203.339.222,668.737.344.616
-581.536.672.555,668.874.944.238
-579.870.005.888,669.040.934.373
-578.203.339.222,669.234.165.616
-576.536.672.555,669.453.339.023
-574.870.005.888,669.697.017.492
-573.203.339.222,669.963.638.336
-571.536.672.555,670.251.526.968
-569.870.005.888,670.558.911.551
-568.203.339.222,670.883.938.479
-566.536.672.555,671.224.688.531
-564.870.005.888,671.579.193.533
-563.203.339.222,67.194.545.335
-561.536.672.555,672.321.453.027
-559.870.005.888,6.727.051.799
-558.203.339.222,673.094.640.479
-556.536.672.555,673.487.876.933
-554.870.005.888,67.388.298.299
-553.203.339.222,674.278.119.087
-551.536.672.555,674.671.526.602
-549.870.005.888,675.061.541.029
-548.203.339.222,67.544.660.395
-546.536.672.555,675.825.273.688
-544.870.005.888,676.196.234.542
-543.203.339.222,676.558.304.502
-541.536.672.555,676.910.441.391
-539.870.005.888,677.251.747.367
-538.203.339.222,677.581.471.756
-536.536.672.555,677.899.012.202
-534.870.005.888,678.203.914.127
-533.203.339.222,678.495.868.519
-531.536.672.555,678.774.708.091
-529.870.005.888,679.040.401.846
-528.203.339.222,67.929.304.813
-526.536.672.555,679.532.866.239
-524.870.005.888,679.760.186.696
-523.203.339.222,679.975.440.297
-521.536.672.555,680.179.146.053
-519.870.005.888,680.371.898.187
-518.203.339.222,680.554.352.322
-516.536.672.555,680.727.211.045
-514.870.005.888,680.891.209.021
-513.203.339.222,681.047.097.853
-511.536.672.555,681.195.630.897
-509.870.005.888,681.337.548.231
-508.203.339.222,681.473.562.011
-506.536.672.555,681.604.342.416
-504.870.005.888,681.730.504.421
-503.203.339.222,681.852.595.597
-501.536.672.555,68.197.108.516
-499.870.005.888,68.208.635.445
-498.203.339.222,682.198.689.045
-496.536.672.555,68.230.827.265
-494.870.005.888,6.824.151.829
-493.203.339.222,682.519.389.203
-491.536.672.555,682.620.752.673
-489.870.005.888,682.719.028.218
-488.203.339.222,68.281.386.876
-486.536.672.555,682.904.831.567
-484.870.005.888,68.299.138.661
-483.203.339.222,683.072.926.812
-481.536.672.555,683.148.780.038
-479.870.005.888,683.218.222.612
-478.203.339.222,683.280.494.122
-476.536.672.555,68.333.481.324
-474.870.005.888,683.380.394.247
-473.203.339.222,683.416.463.943
-471.536.672.555,683.442.278.606
-469.870.005.888,683.457.140.632
-468.203.339.222,683.460.414.529
-466.536.672.555,683.451.541.902
-464.870.005.888,683.430.055.111
-463.203.339.222,683.395.589.303
-461.536.672.555,683.347.892.536
-459.870.005.888,68.328.683.376
-458.203.339.222,683.212.408.481
-456.536.672.555,68.312.474.195
-454.870.005.888,683.024.089.806
-453.203.339.222,682.910.836.135
-451.536.672.555,682.785.488.976
-449.870.005.888,682.648.673.374
-448.203.339.222,682.501.122.102
-446.536.672.555,682.343.664.268
-444.870.005.888,682.177.212.046
-443.203.339.222,682.002.745.816
-441.536.672.555,681.821.298.046
-439.870.005.888,681.633.936.263
-438.203.339.222,681.441.745.483
-436.536.672.555,681.245.810.492
-434.870.005.888,681.047.198.349
-433.203.339.222,680.846.941.493
-431.536.672.555,68.064.602.181
-429.870.005.888,680.445.355.988
-428.203.339.222,680.245.782.458
-426.536.672.555,680.048.050.178
-424.870.005.888,679.852.809.468
-423.203.339.222,679.660.605.061
-421.536.672.555,679.471.871.463
-419.870.005.888,679.286.930.697
-418.203.339.222,679.105.992.399
-416.536.672.555,678.929.156.237
-414.870.005.888,678.756.416.531
-413.203.339.222,678.587.668.926
-411.536.672.555,678.422.718.927
-409.870.005.888,678.261.292.073
-408.203.339.222,678.103.045.478
-406.536.672.555,677.947.580.488
-404.870.005.888,677.794.456.139
-403.203.339.222,677.643.203.134
-401.536.672.555,677.493.338.044
-399.870.005.888,67.734.437.743
-398.203.339.222,677.195.851.633
-396.536.672.555,677.047.317.957
-394.870.005.888,676.898.373.024
-393.203.339.222,676.748.664.085
-391.536.672.555,676.597.899.121
-389.870.005.888,676.445.855.576
-388.203.339.222,676.292.387.617
-386.536.672.555,676.137.431.827
-384.870.005.888,675.981.011.291
-383.203.339.222,67.582.323.803
-381.536.672.555,675.664.313.806
-379.870.005.888,675.504.529.304
-378.203.339.222,675.344.261.749
-376.536.672.555,675.183.971.018
-374.870.005.888,675.024.194.323
-373.203.339.222,674.865.539.571
-371.536.672.555,674.708.677.486
-369.870.005.888,674.554.332.621
-368.203.339.222,674.403.273.371
-366.536.672.555,674.256.301.118
-364.870.005.888,674.114.238.627
-363.203.339.222,673.977.917.845
-361.536.672.555,673.848.167.231
-359.870.005.888,673.725.798.752
-358.203.339.222,673.611.594.713
-356.536.672.555,673.506.294.555
-354.870.005.888,673.410.581.786
-353.203.339.222,673.325.071.195
-351.536.672.555,673.250.296.524
-349.870.005.888,673.186.698.755
-348.203.339.222,673.134.615.183
-346.536.672.555,673.094.269.439
-344.870.005.888,673.065.762.633
-343.203.339.222,673.049.065.768
-341.536.672.555,673.044.013.586
-339.870.005.888,673.050.299.988
-338.203.339.222,673.067.475.144
-336.536.672.555,673.094.944.414
-334.870.005.888,673.131.969.165
-333.203.339.222,673.177.669.549
-331.536.672.555,673.231.029.273
-329.870.005.888,673.290.902.377
-328.203.339.222,673.356.021.985
-326.536.672.555,673.425.010.973
-324.870.005.888,673.496.394.466
-323.203.339.222,673.568.614.019
-321.536.672.555,673.640.043.342
-319.870.005.888,673.709.005.352
-318.203.339.222,673.773.790.345
-316.536.672.555,673.832.675.035
-314.870.005.888,673.883.942.186
-313.203.339.222,673.925.900.547
-311.536.672.555,673.956.904.803
-309.870.005.888,67.397.537.522
-308.203.339.222,673.979.816.696
-306.536.672.555,673.968.836.903
-304.870.005.888,673.941.163.249
-303.203.339.222,67.389.565.838
-301.536.672.555,673.831.333.984
